['(Hey) Fancy Pants!', 'Annette Warren']
['A Dream Is A Wish Your Heart Makes', 'Ilene Woods']
['Aba Daba Honeymoon', 'Debbie Reynolds and Carleton Carpenter']
['Accidents Will Happen', 'Bing Crosby']
['Detroit City Blues', 'Fats Domino']
["Enjoy Yourself (It's Later Than You Think)", 'Guy Lombardo']
['Frosty The Snowman', 'Gene Autry']
['Get Happy', 'Judy Garland']
['Goodnight Irene', 'Leadbelly']
["Home Cookin'", 'Bob Hope']
["Hymne � L'amour", 'Edith Piaf']
["I'm Moving On", 'Hank Snow']
["I've Got A Lovely Bunch Of Coconuts", 'Danny Kaye']
["If I Knew You Were Comin' I'd've Baked A Cake", 'Eileen Barton']
['Lichtenburg', 'Irving Berlin']
['Malague�a Salerosa (La Malague�a)', 'Traditional']
['Marshmallow World', 'Bing Crosby']
['Mele Kalikimaka', 'Bing Crosby']
['Mona Lisa', 'Nat King Cole']
['Mrs. Sally Adams', 'Irving Berlin']
['My Heart Cries for You', 'Guy Mitchell']
["Rollin' Stone", 'Muddy Waters']
['Something About A Sailor', 'No�l Coward']
['Tennessee Waltz', 'Patti Page']
['The Fat Man', 'Fats Domino']
["The Hostess With The Mostes' On The Ball", 'Ethel Merman']
['The Thing', 'Phil Harris']
['The Third Man Theme', 'Anton Karas']
['We Want Muffin! (Muffin The Mule)', 'Annette Mills']
['What A Referee!', 'Billy Cotton']
["You're Just In Love", 'Russell Nype and Ethel Merman']
