['Amy', 'Horatio Nicholls']
['Body and Soul', 'Libby Holman']
['Dancing On The Ceiling', 'Cast of Ever Green']
['He Nawe Kei Roto', 'Tuini Moetu Haangu Ngawai']
['I Got Rhythm', 'Ethel Merman']
["I'd Like To Find The Guy That Wrote The Stein Song", 'Harry McDaniel']
['Love For Sale', 'Cole Porter']
['Mood Indigo', 'Duke Ellington']
['On the Sunny Side Of The Street', 'Harry Richman']
['Sing Something Simple', 'Ruth Tester']
["When It's Sleepy Time Down South", 'Louis Armstrong']
["Yes Sir, That's My Baby", 'Eddie Cantor']
