['Black, Brown And White', 'Big Bill Broonzy']
['Deep In A Dream', 'Bob Crosby']
["Don't You Feel My Leg", 'Blue Lu Barker']
['God Bless America', 'Kate Smith']
['I Blew A Little Blast On My Whistle', 'George Formby']
["I'm Saving The Last Waltz For You", 'Horatio Nicholls']
["It's In The Air", 'George Formby']
['Jeepers Creepers', 'Louis Armstrong']
['Just A Dream', 'Big Bill Broonzy']
['Our Love Is Here To Stay', 'George Gershwin']
['The Bee Song', 'Arthur Askey']
['The Hiking Song', 'Max Miller']
['When The Saints Go Marching In', 'Louis Armstrong']
['Wunga Bunga Bu', 'George Formby']
