['Bewitched, Bothered And Bewildered', 'Vivienne Segal']
["I'll Never Smile Again", 'Frank Sinatra']
["I'm Going to Get Lit Up (When the Lights Go Up in London)", 'Carroll Gibbons']
["I'm The Ukulele Man", 'George Formby']
["I've Got No Strings", 'Dickie Jones']
["I've Still Got My Health", 'Cole Porter']
['Key To The Highway', 'Charlie Segar']
['Mule Skinner Blues', 'Bill Monroe']
['O Death Rock Me To Sleep', 'John Edmunds']
['Pennsylvania 6-5000', 'Glenn Miller']
['The White Cliffs Of Dover', 'Vera Lynn']
['Tuxedo Junction', 'Glenn Miller']
['When You Wish Upon A Star', 'Cliff Edwards']
