['Baby Mine', 'Betty Noyes']
["Bless 'Em All", 'George Formby']
["Bless 'Em All No. 2", 'George Formby']
['Chattanooga Choo Choo', 'Glenn Miller']
['Could You Please Oblige Us With A Bren Gun?', 'No�l Coward']
['Gloomy Sunday', 'Billie Holiday']
['God Bless the Child', 'Billie Holiday']
['Grand Coulee Dam', 'Woody Guthrie']
['How About You?', 'Judy Garland']
["I Got it Bad (And That Ain't Good)", 'Duke Ellington']
['Pastures of Plenty', 'Woody Guthrie']
['Roll On Columbia', 'Woody Guthrie']
['Shotgun Blues', 'Sonny Boy Williamson']
['Take the A Train', 'Duke Ellington']
['The Emperor Of Lancashire', 'George Formby']
['The Lily Of Laguna', 'Bing Crosby']
['The Pixie', 'Arthur Askey']
['When I See An Elephant Fly', 'Cliff Edwards']
