['Anniversary Song', 'Al Jolson']
['Anything You Can Do', 'Ethel Merman and Ray Middleton']
['Blue Moon Of Kentucky', 'Bill Monroe']
['Buffalo Bill', 'Cast of Annie Get Your Gun']
['Come Rain Or Come Shine', 'Margaret Whiting']
['Crazy He Calls Me', 'Billie Holiday']
["Doin' What Comes Natur'lly", 'Ethel Merman']
['Evil Hearted Woman Blues', 'Johnny Shines']
['Let The Good Times Roll', 'Louis Jordan']
['Linda', 'Ray Noble Orchestra']
['Petit Papa Noel', 'Josh Groban']
['Route 66', 'Nat King Cole']
['The Christmas Song', 'Nat King Cole']
["There's No Business Like Show Business", 'Ethel Merman']
["You Can't Get A Man With A Gun", 'Cast of Annie Get Your Gun']
