['4.33', 'John Cage']
['Blue Canadian Rockies', 'Gene Autry']
['Cold, Cold Heart', 'Hank Williams']
["Don't Let The Stars Get In Your Eyes", 'Perry Como']
['Give Me Central 209', "Lightnin' Hopkins"]
['Hans Christian Andersen', 'Danny Kaye']
['Happy Trails', 'Roy Rogers & Dale Evans']
['Hard Times', 'Charles Brown']
['Here In My Heart', 'Al Martino']
['High Noon', 'Frankie Laine']
['Hurrian Hymn No. 6', 'Michael Levy']
['Icy Heart', 'Bill Haley']
['Indian Love Call', 'Slim Whitman']
['Lawdy Miss Clawdy', 'Lloyd Price']
['Lonesome Train', 'Stan Kenton']
['Mad About The Boy', 'Dinah Washington']
["Make 'Em Laugh", "Donald O'Connor"]
['Rock The Joint', 'Bill Haley']
['She Wears Red Feathers (And A Huly-Huly Skirt)', 'Guy Mitchell']
['Silver Bells', 'Bing Crosby']
["Singin' In The Rain", 'Gene Kelly']
['The Hokey Pokey', 'Ray Anthony']
["The King's New Clothes", 'Danny Kaye']
['The Marrow Song (Oh What A Beauty!)', 'Edrich Siebert']
['The Ugly Duckling', 'Danny Kaye']
['Thumbelina', 'Danny Kaye']
["Walkin' My Baby Back Home", 'Nat King Cole']
['When I Fall In Love', 'Doris Day']
