['A Satisfied Mind ', 'Porter Wagoner']
["Ain't That A Shame", 'Fats Domino']
['Arrivederci Roma', 'Dean Martin']
['Autumn Leaves', 'Steve Allen']
['Black Denim Trousers', 'The Cheers']
['Bo Diddley', 'Bo Diddley']
["C'est La Vie", 'Sarah Vaughan']
['Cherry Pink And Apple Blossom White', 'P�rez Prado']
['Did Santa Have A Daddy Just Like Mine?', 'Archie Alexander']
['Down Bound Train', 'Chuck Berry']
['I Forgot To Remember To Forget', 'Elvis Presley']
['I Like Myself', 'Gene Kelly']
["I'm A Man", 'Bo Diddley']
["I'm Left, You're Right, She's Gone", 'Elvis Presley']
['In My Diary', 'The Moonglows']
['In The Wee Small Hours Of The Morning', 'Frank Sinatra']
['Let There Be Peace On Earth', 'Various']
['Love And Marriage', 'Frank Sinatra']
['Mannish Boy', 'Muddy Waters']
['Maybellene', 'Chuck Berry']
['Mystery Train', 'Elvis Presley']
['No Money Down', 'Chuck Berry']
["Nuttin' For Christmas", 'Barry Gordon']
['Peace And Quiet', 'Cast of The Water Gipsies']
['Pledging My Love', 'Johnny Ace']
['Rock Around The Clock', 'Bill Haley']
['Sing A Rainbow', 'Arthur Hamilton']
['Sixteen Tons', 'Tennessee Ernie Ford']
["Smokey Joe's Cafe", 'The Robins']
['Strange Lady In Town', 'Frankie Laine']
['The Ballad of Davy Crockett', 'Bill Hayes']
['The Baseball Rag', 'No�l Coward']
['The Four Letter Words', 'Oscar Brand']
['The Man From Laramie', 'Jimmy Young']
['The Wallflower', 'Etta James']
['The Yellow Rose Of Texas', 'Mitch Miller']
['Thirty Days', 'Chuck Berry']
['Trouble No More', 'Muddy Waters']
['Tutti Frutti', 'Little Richard']
['Uncle Harry', 'No�l Coward']
['Wee Wee Hours', 'Chuck Berry']
['When Do I Get To Be Called A Man?', 'Big Bill Broonzy']
