["A Lover's Question", 'Clyde McPhatter']
['A Wonderful Time Up There', 'Pat Boone']
['All I Have to Do Is Dream', 'The Everly Brothers']
['Are You Sincere', 'Andy Williams']
['Beep Beep', 'The Playmates']
['Big River', 'Johnny Cash']
['Bird Dog', 'The Everly Brothers']
['Blue Destiny', 'Neil Diamond']
['Bluebirds Over The Mountain', 'Ersel Hickey']
['Book Of Love', 'The Monotones']
['Born Too Late', 'The Poni-Tails']
['Breathless', 'Jerry Lee Lewis']
['Carol', 'Chuck Berry']
['Catch A Falling Star', 'Perry Como']
['Chantilly Lace', 'The Big Bopper']
['Claudette', 'The Everly Brothers']
['Come Fly With Me', 'Frank Sinatra']
['Conquest', 'Ronnie And The Red Caps']
['Dinner With Drac', 'John Zacherle']
['Do You Want To Dance', 'Bobby Freeman']
["Don't", 'Elvis Presley']
['Donde Esta Santa Claus', 'Augie Rios']
['Donna', 'Ritchie Valens']
['Endless Sleep', 'Jody Reynolds']
['Everything is Tickety-Boo', 'Danny Kaye']
['Fever', 'Peggy Lee']
['Get A Job', 'The Silhouettes']
['Gigi', 'Lerner & Loewe']
['Good Golly Miss Molly', 'Little Richard']
['Got a Job', 'The Miracles']
['Green Christmas', 'Stan Freberg']
['Hard Headed Woman', 'Elvis Presley']
['Hear Them Bells', 'Neil Diamond']
['High School Confidential', 'Jerry Lee Lewis']
['Hoots Mon', "Lord Rockingham's XI"]
['I Enjoy Being A Girl', 'Doris Day']
['I Met Him on a Sunday (Ronde-Ronde)', 'The Shirelles']
['In Spite Of All The Danger', 'The Beatles']
["It's Only Make Believe", 'Conway Twitty']
["It's So Easy", 'Buddy Holly']
['Jennie Lee', 'Jan & Arnie']
['Johnny B. Goode', 'Chuck Berry']
['La Bamba', 'Ritchie Valens']
['Little Star', 'The Elegants']
['Lollipop', 'The Chordettes']
['Lonesome Town', 'Rick Nelson']
['Magic Moments', 'Perry Como']
['Maybe', 'The Chantels']
['Maybe Baby', 'Buddy Holly']
["Moovin' 'N' Groovin'", 'Duane Eddy']
['Move It', 'Cliff Richard']
['My Baby Just Cares For Me', 'Nina Simone']
['Nel Blu, Dipinto di Blu (Volare)', 'Domenico Modugno']
["Oh Mary, Don't You Weep", 'Swan Silvertones']
['One Night', 'Elvis Presley']
['Perhaps Perhaps Perhaps', 'Nat King Cole']
['Peter Gunn Theme', 'Henry Mancini']
['Poor Little Fool', 'Rick Nelson']
['Pretty Boy Floyd', 'Woody Guthrie']
['Put a Ring on My Finger', 'Les Paul and Mary Ford']
['Rave On', 'Buddy Holly']
['Rebel Rouser', 'Duane Eddy']
['Rock And Roll Is Here To Stay', 'Danny & the Juniors']
["Rockin' Around The Christmas Tree", 'Brenda Lee']
["Rockin' Robin", 'Bobby Day']
['Rumble', 'Link Wray & His Ray Men']
['Run Rudolph Run', 'Chuck Berry']
['Seemann (Deine Heimat Ist Das Meer)', 'Lolita']
['Short Shorts', 'The Royal Teens']
['Smoke Gets in Your Eyes', 'The Platters']
['Splish Splash', 'Bobby Darin']
['Summertime Blues', 'Eddie Cochran']
["Susie Darlin'", 'Robin Luke']
['Sweet Little Sixteen', 'Chuck Berry']
['Tears On My Pillow', 'Little Anthony & the Imperials']
['Thank Heaven For Little Girls', 'Maurice Chevalier']
['The Ballad Of John Axon', 'Ewan MacColl']
['The Ballad Of Springhill', 'Peggy Seeger']
['The Blob', 'The Five Blobs']
['The Chipmunk Song', 'The Chipmunks']
['The Diary', 'Neil Sedaka']
['The Little Drummer Boy', 'Harry Simeone Chorale']
['The Night They Invented Champagne', 'Leslie Caron']
['The Purple People Eater', 'Sheb Wooley']
['To Know Him Is To Love Him', 'The Teddy Bears']
['Tom Dooley', 'The Kingston Trio']
['Tulips From Amsterdam', 'Max Bygraves']
['Twilight Time', 'The Platters']
['What Am I Living For?', 'Chuck Willis']
['When', 'Kalin Twins']
["Who's Sorry Now", 'Connie Francis']
['Witch Doctor', 'David Seville']
["Wouldn't It Be Fun!", 'Cole Porter']
['Yakety Yak', 'The Coasters']
['You Need Hands', 'Max Bygraves']
