['A Fool In Love', 'Ike & Tina Turner']
['A Scottish Soldier', 'Andy Stewart']
['A Sunday Kind Of Love', 'Etta James']
["Ain't That a Kick in the Head", 'Dean Martin']
['Alley Oop', 'The Hollywood Argyles']
['Angel Baby', 'Rosie & the Originals']
['Apache', 'The Shadows']
['Are You Lonesome Tonight', 'Elvis Presley']
['As Long As He Needs Me', 'Cast of Oliver!']
["Because They're Young", 'Duane Eddy']
['Beyond The Sea', 'Bobby Darin']
['Blue Boy', 'Albert Hammond']
['Bye Bye Baby', 'Mary Wells']
['Bye Bye Johnny', 'Chuck Berry']
['Calendar Girl', 'Neil Sedaka']
['Cannily, Cannily', 'Ewan MacColl']
["Cathy's Clown", 'The Everly Brothers']
['Consider Yourself', 'Cast of Oliver!']
['Dominick The Donkey', 'Lou Monte']
["Don't Bring Lulu", 'Dorothy Provine']
["Donald Where's Your Troosers?", 'Andy Stewart']
['Donna Donna', 'Joan Baez']
["Everybody's Somebody's Fool", 'Connie Francis']
['Exodus', 'Ernest Gold']
["Fings Ain't Wot They Used T'Be", 'Max Bygraves']
['Food, Glorious Food', 'Cast of Oliver!']
['Forty Winks Away', 'Neil Sedaka']
['Freedom Come All Ye', 'Hamish Henderson']
['Gee Whiz (Look At His Eyes)', 'Carla Thomas']
['Georgia On My Mind', 'Ray Charles']
['Goodness Gracious Me!', 'Peter Sellers']
['Happy-Go-Lucky Me', 'Paul Evans']
['Hide Away', 'Freddie King']
["I'm a Honky Tonk Girl", 'Loretta Lynn']
["I'm Sorry", 'Brenda Lee']
['It Depends On What You Pay', 'Cast of The Fantasticks']
["It's Now Or Never", 'Elvis Presley']
['Itsy Bitsy Teeny Weeny Yellow Polka Dot Bikini', 'Brian Hyland']
['Jaguar And Thunderbird', 'Chuck Berry']
['Kids', 'Cast of Bye Bye Birdie']
['Look For a Star', 'Gary Mills']
['Mashed Potatoes', 'Nat Kendricks']
['Mr. Custer', 'Larry Verne']
['My First Wife Left Me', 'John Lee Hooker']
['My Heart Has a Mind of Its Own', 'Connie Francis']
["My Old Man's a Dustman", 'Lonnie Donegan']
['Night', 'Jackie Wilson']
['Non, Je Ne Regrette Rien', 'Edith Piaf']
['Only The Lonely (Know The Way I Feel)', 'Roy Orbison']
['Please Come Home For Christmas', 'Charles Brown']
['Pony Time', 'Chubby Checker']
['Portrait Of My Love', 'Matt Monro']
['Puppy Love', 'Paul Anka']
['Put On A Happy Face', 'Cast of Bye Bye Birdie']
['Rubber Ball', 'Bobby Vee']
['Save the Last Dance for Me', 'The Drifters']
["Shakin' All Over", 'Johnny Kidd & the Pirates']
['Shop Around', 'The Miracles']
["Shoppin' for Clothes", 'The Coasters']
['Sink the Bismarck', 'Johnny Horton']
['Spanish Harlem', 'Ben E. King']
['Stairway To Heaven', 'Neil Sedaka']
['Stay', 'Maurice Williams & the Zodiacs']
['Teen Angel', 'Mark Dinning']
['Tell Laura I Love Her', 'Ray Peterson']
['The Exodus Song (This Land Is Mine)', 'Pat Boone']
["The Fishin' Hole (theme to The Andy Griffith Show)", 'Andy Griffith']
['The Hippopotamus', 'Flanders & Swann']
['The Madison Time', 'Ray Bryant Combo']
['The Twist', 'Chubby Checker']
["There's Something on Your Mind", 'Bobby Marchan']
['This Magic Moment', 'The Drifters']
['Three Steps To Heaven', 'Eddie Cochran']
['Tie Me Kangaroo Down, Sport', 'Rolf Harris']
["Tossin' And Turnin'", 'Bobby Lewis']
["Tractor Drivin' Man", 'Bill Shirley']
['Wake Me, Shake Me', 'The Coasters']
["Walk - Don't Run", 'The Ventures']
['Way Over There', 'The Miracles']
['When Will I Be Loved', 'The Everly Brothers']
['Where The Boys Are', 'Connie Francis']
['Whispering Sea', 'Loretta Lynn']
['Will You Love Me Tomorrow', 'The Shirelles']
['Wings Of A Dove', 'Ferlin Husky']
['Wonderful World', 'Sam Cooke']
['Ya Mujabid Fe Sabil Allah', 'Umm Kulthum']
['You Got What It Takes', 'Marv Johnson']
["You're A Pink Toothbrush", 'Max Bygraves']
["You've Got To Pick A Pocket Or Two", 'Cast of Oliver!']
