["'Cross The Plains", 'Travis Edmonson']
['(The Man Who Shot) Liberty Valance', 'Gene Pitney']
['409', 'The Beach Boys']
["A Swingin' Safari", 'Billy Vaughn']
['A True True Love', 'Bobby Darin']
['Ahab, The Arab', 'Ray Stevens']
['Alley Cat', 'Bent Fabric']
['Angi', 'Davy Graham']
['Anna (Go to Him)', 'Arthur Alexander']
['Any Day Now (My Wild Beautiful Bird)', 'Chuck Jackson']
['As Long as the Grass Shall Grow', 'Johnny Cash']
["Baby It's You", 'The Shirelles']
['Baby, Let Me Follow You Down', 'Bob Dylan']
['Bachelor Boy', 'Cliff Richard']
['Beechwood 4-5789', 'The Marvelettes']
["Big Girls Don't Cry", 'The Four Seasons']
['Boom Boom', 'John Lee Hooker']
['Breaking Up Is Hard To Do', 'Neil Sedaka']
['Bring It On Home To Me', 'Sam Cooke']
['Chains', 'The Cookies']
['Chicken Fat', 'Robert Preston']
['Chug-A-Lug', 'The Beach Boys']
['Come On', 'Chuck Berry']
['Come Outside', 'Mike Sarne']
['Days Of Wine And Roses', 'Henry Mancini']
['Do You Love Me', 'The Contours']
["Don't Play That Song (You Lied)", 'Ben E. King']
['Down In The Valley', 'Solomon Burke']
['Duke Of Earl', 'Gene Chandler']
['Folk Song', 'Bernard Cribbins']
['Follow That Dream', 'Elvis Presley']
['Fortune Teller', 'Benny Spellman']
['Forward March', 'Derrick Morgan']
['Go Away Little Girl', 'Steve Lawrence']
['Gospel Plow', 'Bob Dylan']
['Gossip Calypso', 'Bernard Cribbins']
['Green Onions', "Booker T. & the MG's"]
['Guantanamera', 'Pete Seeger']
['Having A Party', 'Sam Cooke']
['He Hit Me (And It Felt Like a Kiss)', 'The Crystals']
["He's A Rebel", 'The Crystals']
['Hello Little Girl', 'The Beatles']
['Hey Paula', 'Paul & Paula']
['Hey! Baby', 'Bruce Channel']
['Hitch Hike', 'Marvin Gaye']
['Hole In The Ground', 'Bernard Cribbins']
["I Can't Stop Loving You", 'Ray Charles']
['I Found a Love', 'The Falcons']
['I Left My Heart in San Francisco', 'Tony Bennett']
['I Remember You', 'Frank Ifield']
["I've Been Everywhere", 'Hank Snow']
['If A Man Answers', 'Bobby Darin']
["It Keeps Right On a-Hurtin'", 'Johnny Tillotson']
['Johnny Angel', 'Shelley Fabares']
['Johnny Get Angry', 'Joanie Sommers']
['Kumbaya', 'Joan Baez']
['Lana', 'Roy Orbison']
['Land of 1000 Dances', 'Chris Kenner']
["Let's Dance", 'Chris Montez']
['Like Dreamers Do', 'The Beatles']
['Love Came To Me', 'Dion']
['Love Me Do', 'The Beatles']
['Make It Easy on Yourself', 'Jerry Butler']
['Mexican Divorce', 'The Drifters']
['Miserlou', 'Dick Dale']
['Monster Mash', 'Bobby "Boris" Pickett & the Crypt-Kickers']
['Morning Dew', 'Bonnie Dobson']
['Mr. Lonely', 'Bobby Vinton']
['My Bonnie', 'The Beatles with Tony Sheridan']
['Only Love Can Break A Heart', 'Gene Pitney']
['P.S. I Love You', 'The Beatles']
['Percolator (Twist)', 'Billy Joe and the Checkmates']
['Playboy', 'The Marvelettes']
['Quando, Quando, Quando (Tell Me When)', 'Pat Boone']
['Quietly Bonkers', 'Bernard Cribbins']
['Return To Sender', 'Elvis Presley']
['Rhythm of the Rain', 'The Cascades']
['Right, Said Fred', 'Bernard Cribbins']
['Roses Are Red (My Love)', 'Bobby Vinton']
['Sealed With A Kiss', 'Brian Hyland']
["She Can't Find Her Keys", 'Paul Petersen']
['She Taught Me How To Yodel', 'Frank Ifield']
['Sheila', 'Tommy Roe']
['Sherry', 'The Four Seasons']
['Silver Threads and Golden Needles', 'The Springfields']
['Soldier Boy', 'The Shirelles']
['Soldier of Love', 'Arthur Alexander']
['Some Sunny Day', 'Van Morrison']
['Song To Woody', 'Bob Dylan']
['Soul Bossa Nova', 'Quincy Jones']
['Speak To Me Pretty', 'Brenda Lee']
['Speedy Gonzales', 'Pat Boone']
["Surfin' Safari", 'The Beach Boys']
["Talkin' New York", 'Bob Dylan']
['Tell Him', 'The Exciters']
['Telstar', 'The Tornados']
['Tennessee', 'Jan & Dean']
['That Was The Week That Was', 'Millicent Martin']
["That's Old Fashioned (That's The Way Love Should Be)", 'The Everly Brothers']
['The Ballad Of Jed Clampett', 'Flatt and Scruggs']
['The End of the World', 'Skeeter Davis']
['The James Bond Theme', 'John Barry Orchestra']
['The Loco-Motion', 'Little Eva']
['The Lonely Bull (El Solo Toro)', 'Herb Alpert']
['The Next Time', 'Cliff Richard']
['The One Who Really Loves You', 'Mary Wells']
['The Stripper', 'David Rose & His Orchestra']
['The Swiss Maid', 'Del Shannon']
['The Wah-Watusi', 'The Orlons']
['These Arms of Mine', 'Otis Redding']
['Twist And Shout', 'The Isley Brothers']
['Two Lovers', 'Mary Wells']
['Up On The Roof', 'The Drifters']
['Uptown', 'The Crystals']
['Vacation', 'Connie Francis']
['Venus In Blue Jeans', 'Jimmy Clanton']
['Waiting For Charlie To Come Home', 'Etta James']
['Watermelon Man', 'Herbie Hancock']
['What Have They Done To The Rain', 'Joan Baez']
['What Now My Love', 'Shirley Bassey']
['Where Have All The Flowers Gone?', 'The Kingston Trio']
['Wonderful Land', 'The Shadows']
['You Are My Sunshine', 'Ray Charles']
['You Beat Me to the Punch', 'Mary Wells']
["You Don't Know Me", 'Ray Charles']
["You've Really Got A Hold On Me", 'The Miracles']
['Your Heart Belongs To Me', 'The Supremes']
