["(If Loving You Is Wrong) I Don't Want to Be Right", 'Luther Ingram']
['2HB', 'Roxy Music']
['30 Days In The Hole', 'Humble Pie']
["A Child of God (It's Hard to Believe)", 'Millie Jackson']
['A Horse With No Name', 'America']
['A Man Needs A Maid', 'Neil Young']
['A Song For Richard And His Friends', 'Chicago']
['A Year', 'Status Quo']
["Ain't No Woman (Like The One I've Got)", 'The Four Tops']
["Ain't Wasting Time No More", 'The Allman Brothers Band']
['Alabama', 'Neil Young']
['All Down The Line', 'The Rolling Stones']
['All The Young Dudes', 'Mott the Hoople']
['Alone Again (Naturally)', "Gilbert O'Sullivan"]
['Am Tag Als Conny Kramer Starb', 'Juliane Werding']
['American City Suite', 'Cashman & West']
['Amie', 'Pure Prairie League']
['Amours Incestueuses', 'Barbara']
['An American Trilogy', 'Elvis Presley']
['And You And I', 'Yes']
['Andorra', 'Colin Blunstone']
["Andy's Chest", 'Lou Reed']
['Angela', 'John Lennon']
['Angry Eyes', 'Loggins and Messina']
['Annabelle', 'Fraternity']
['Are You Ready For The Country', 'Neil Young']
['Ask Me What You Want', 'Millie Jackson']
['Aubrey', 'Bread']
['Automatically Sunshine', 'The Supremes']
["Baby Don't Get Hooked on Me", 'Mac Davis']
['Back Off Boogaloo', 'Ringo Starr']
['Back Stabbers', "The O'Jays"]
['Bare Trees', 'Fleetwood Mac']
['Barges', 'Ralph McTell']
['Belfast', 'unknown']
['Ben', 'Michael Jackson']
['Black and White', 'Three Dog Night']
['Black Boys On The Corner', 'Thin Lizzy']
['Blue Sky', 'The Allman Brothers Band']
['Box #10', 'Jim Croce']
["Brandy (You're a Fine Girl)", 'Looking Glass']
['Buddy', 'Mahogany Rush']
['Buick MacKane', 'T. Rex']
['Burke and Hare', 'The Scaffold']
['Burning Love', 'Elvis Presley']
['C Moon', 'Wings']
['Captain Sunshine', 'Neil Diamond']
['Casino Boogie', 'The Rolling Stones']
['Cassidy', 'Grateful Dead']
['Celluloid Heroes', 'The Kinks']
["Childhood's End", 'Pink Floyd']
['Christmas Song', 'Jethro Tull']
['City Of New Orleans', 'Arlo Guthrie']
['Clair', "Gilbert O'Sullivan"]
['Close To The Edge', 'Yes']
['Coconut', 'Nilsson']
['Concrete Sea', 'Terry Jacks']
["Could It Be I'm Falling In Love", 'The Spinners']
["Couldn't I Just Tell You", 'Todd Rundgren']
['Crazy Horses', 'The Osmonds']
['Crocodile Rock', 'Elton John']
["Daddy Don't You Walk So Fast", 'Wayne Newton']
