["(Don't Fear) The Reaper", 'Blue �yster Cult']
["(I'm) Stranded", 'The Saints']
['(In All Of My Dreams) You Rescue Me', 'Wishbone Ash']
['(Shake, Shake, Shake) Shake Your Booty', 'KC & The Sunshine Band']
['2112', 'Rush']
['53rd & 3rd', 'Ramones']
['A Fifth Of Beethoven', 'Walter Murphy']
["A Junkie's Lament", 'James Taylor']
['A Light In The Black', 'Rainbow']
["A Little Bit Country, A Little Bit Rock 'N Roll", 'Donny & Marie']
['A Passage To Bangkok', 'Rush']
['A Trick Of The Tail', 'Genesis']
['Achilles Last Stand', 'Led Zeppelin']
['After The Ball', 'Charlene']
['Afternoon Delight', 'Starland Vocal Band']
["Ain't No Fun (Waiting Round To Be A Millionaire)", 'AC/DC']
["Ain't That A Bitch", 'Johnny "Guitar" Watson']
['All American', 'Sammy Hagar']
['All American Alien Boy', 'Ian Hunter']
['All I Can Do Is Write About It', 'Lynyrd Skynyrd']
['All These Things', 'Joe Stampley']
['Amelia', 'Joni Mitchell']
['Angry Young Man', 'Billy Joel']
['Another Star', 'Stevie Wonder']
['Arrested For Driving While Blind', 'ZZ Top']
['As', 'Stevie Wonder']
['Autumn Changes', 'Donna Summer']
['Back In The Saddle', 'Aerosmith']
['Beat On The Brat', 'Ramones']
['Beautiful Noise', 'Neil Diamond']
['Benihana', 'Marilyn Chambers']
['Beth', 'Kiss']
['Big Balls', 'AC/DC']
['Blinded by the Light', "Manfred Mann's Earth Band"]
['Blitzkrieg Bop', 'Ramones']
['Boogie Fever', 'The Sylvers']
['Boston Tea Party', 'The Sensational Alex Harvey Band']
['Bread And Roses', 'Judy Collins']
['Broadway Hotel', 'Al Stewart']
['Calling Card', 'Rory Gallagher']
['Calling Dr. Love', 'Kiss']
['Calling Occupants (Of Interplanetary Craft)', 'Klaatu']
['Candy Store Rock', 'Led Zeppelin']
['Car Wash', 'Rose Royce']
['Carry On Wayward Son', 'Kansas']
['Cherokee Maiden', 'Merle Haggard']
['Cherry Bomb', 'The Runaways']
['Cherry Oh Baby', 'The Rolling Stones']
['Cinderella', 'Firefall']
['City Lights', 'David Essex']
['Clarence', 'David Pomeranz']
['Combination', 'Aerosmith']
['Combine Harvester', 'The Wurzels']
['Corrine', 'The Hollies']
["Couldn't Get It Right", 'Climax Blues Band']
['Cowboy Song', 'Thin Lizzy']
['Coyote', 'Joni Mitchell']
['Crackerbox Palace', 'George Harrison']
['Cry For The Bad Man', 'Lynyrd Skynyrd']
['Daddy Cool', 'Boney M']
['Dancing Queen', 'ABBA']
['Desperados Under The Eaves', 'Warren Zevon']
['Detroit Rock City', 'Kiss']
['Devil Woman', 'Cliff Richard']
['Dirty Deeds Done Dirt Cheap', 'AC/DC']
['Dirty Woman', 'Black Sabbath']
['Disco Duck', 'Rick Dees & His Cast of Idiots']
['Disco Inferno', 'The Trammps']
['Disco Lady', 'Johnnie Taylor']
['Do Right By Your Woman', 'Bad Company']
['Do You Feel It?', 'Alessi Brothers']
['Doctor Doctor', 'UFO']
['Dog Eat Dog', 'Ted Nugent']
['Dogs Of War', 'The Sensational Alex Harvey Band']
["Don't Cry For Me Argentina", 'Julie Covington']
["Don't Give Up On Us", 'David Soul']
["Don't Go Breaking My Heart", 'Elton John and Kiki Dee']
["Don't Leave Me This Way", 'Thelma Houston']
["Don't Take Me Alive", 'Steely Dan']
['Down to Zero', 'Joan Armatrading']
