['(Not Just) Knee Deep', 'Funkadelic']
['10:15 Saturday Night', 'The Cure']
['52 Girls', 'The B-52s']
['6060-842', 'The B-52s']
['99', 'Toto']
['A Little Priest', 'Cast of Sweeney Todd']
['A Message To You Rudy', 'The Specials']
['Accidents Will Happen', 'Elvis Costello']
['After The Love Has Gone', 'Earth, Wind & Fire']
["Ain't No Stoppin' Us Now", 'McFadden & Whitehead']
['Air', 'Talking Heads']
['Albatross', 'Public Image Ltd.']
['All Good Things', 'Klaatu']
['All My Love', 'Led Zeppelin']
['All Night Long', 'Rainbow']
['Always Look On The Bright Side Of Life', 'Monty Python']
['An Englishman In New York', 'Godley & Creme']
['Angel Eyes', 'Roxy Music']
['Another Brick In The Wall (part II)', 'Pink Floyd']
["Are 'Friends' Electric?", 'Gary Numan']
['Are You Ready For Love?', 'Elton John']
["At Home He's A Tourist", 'Gang of Four']
['Atomic', 'Blondie']
['Babe', 'Styx']
["Babylon's Burning", 'Ruts']
['Bad Case of Loving You', 'Robert Palmer']
['Bad Girls', 'Donna Summer']
['Ballad Of The Absent Mare', 'Leonard Cohen']
['Bambi', 'Prince']
['Bang Bang', 'B.A. Robertson']
['Bastard', 'Ian Hunter']
['Beat The Clock', 'Sparks']
['Beautiful Girls', 'Van Halen']
['Bed and Breakfast Man', 'Madness']
["Beggar's Game", 'Dan Fogelberg']
["Bela Lugosi's Dead", 'Bauhaus']
['Belsen Was A Gas', 'Sex Pistols']
['Big Kick, Plain Scrap!', 'Nick Lowe']
['Black Rose', 'Thin Lizzy']
['Blind Love', 'The Allman Brothers Band']
['Blue Murder', 'Tom Robinson Band']
['Boat Drinks', 'Jimmy Buffett']
['Bobby Brown', 'Frank Zappa']
['Boogie Wonderland', 'Earth, Wind & Fire']
['Boy Girl', 'U2']
["Boys Don't Cry", 'The Cure']
['Boys Keep Swinging', 'David Bowie']
['Brass In Pocket', 'Pretenders']
['Breakfast In America', 'Supertramp']
['Bright Eyes', 'Art Garfunkel']
['Bring on the Night', 'The Police']
['Bring The Boys Back Home', 'Pink Floyd']
['Broken Hearted Me', 'Anne Murray']
['By The Sea', 'Cast of Sweeney Todd']
['Caledonia', 'Dougie McLean']
['California �ber Alles', 'Dead Kennedys']
['Can You Read My Mind', 'Maureen McGovern']
["Can't Keep A Good Man Down", 'John Miles']
['Capital Radio Two', 'The Clash']
['Carouselambra', 'Led Zeppelin']
['Cars', 'Gary Numan']
['Cartrouble', 'Adam & The Ants']
['Casual Conversations', 'Supertramp']
['Catholic Girls', 'Frank Zappa']
['Cheap Sunglasses', 'ZZ Top']
['Child Of Vision', 'Supertramp']
['Chiquitita', 'ABBA']
["Christmas Rappin'", 'Kurtis Blow']
["Chuck E.'s In Love", 'Rickie Lee Jones']
['Cities', 'Talking Heads']
['Clampdown', 'The Clash']
['Cleveland Rocks', 'Ian Hunter']
['Comfortably Numb', 'Pink Floyd']
['Communiqu�', 'Dire Straits']
['Complex', 'Gary Numan']
['Concrete Jungle', 'The Specials']
['Confusion', 'Electric Light Orchestra']
['Cool Change', 'Little River Band']
['Cool For Cats', 'Squeeze']
['Coolsville', 'Rickie Lee Jones']
['Coward Of The County', 'Kenny Rogers']
['Crazy Little Thing Called Love', 'Queen']
['Crew Slut', 'Frank Zappa']
['Cruel To Be Kind', 'Nick Lowe']
["Cruisin'", 'Smokey Robinson']
['Dance Stance', 'Dexys Midnight Runners']
['Dance The Night Away', 'Van Halen']
['Dance This Mess Around', 'The B-52s']
['Dark Sweet Lady', 'George Harrison']
["Day Trip To Bangor (Didn't We Have A Lovely Time)", "Fiddler's Dram"]
['Dead Girls Of London', 'Frank Zappa']
['Dead Men Tell No Tales', 'Mot�rhead']
['Death Disco', 'Public Image Ltd.']
['Death Or Glory', 'The Clash']
['Die Young Stay Pretty', 'Blondie']
['Different Worlds', 'Maureen McGovern']
['Dim All The Lights', 'Donna Summer']
['Dirk Wears White Sox', 'Adam & The Ants']
['Dirty White Boy', 'Foreigner']
['Discovering Japan', 'Graham Parker']
['DJ', 'David Bowie']
['Do Anything You Want To', 'Thin Lizzy']
['Do It To Me (Once More With Feeling)', 'Britt Ekland']
['Do That to Me One More Time', 'Captain & Tennille']
['Does Your Mother Know', 'ABBA']
["Don't Bring Me Down", 'Electric Light Orchestra']
["Don't Cry Out Loud", 'Melissa Manchester']
["Don't Do Me Like That", 'Tom Petty & the Heartbreakers']
["Don't Look Down", 'Iggy Pop']
["Don't Stop 'Til You Get Enough", 'Michael Jackson']
['Dream Police', 'Cheap Trick']
['Dreaming', 'Blondie']
['Drugs', 'Talking Heads']
['Duchess', 'The Stranglers']
['D�j� Vu', 'Dionne Warwick']
['Ee-I-Adio', "Hazel O'Connor"]
['Electricity', 'OMD']
['Empty Spaces', 'Pink Floyd']
['English Civil War', 'The Clash']
['Escape (The Pi�a Colada Song)', 'Rupert Holmes']
['Even The Losers', 'Tom Petty & the Heartbreakers']
["Everybody's Happy Nowadays", 'Buzzcocks']
['Face The Fire', 'Dan Fogelberg']
['Fantasic Voyage', 'David Bowie']
['Fear Of Flying', 'Charlie Dore']
['Fella In The Cellar', 'John Miles']
['Fins', 'Jimmy Buffett']
["Flares 'N Slippers", 'Cockney Rejects']
['Fly Too High', 'Janis Ian']
['Follow Me Home', 'Dire Straits']
['Fool In The Rain', 'Led Zeppelin']
["Foolin'", 'The Henry Paul Band']
['For a While', 'Tony Banks']
['For You', 'Judie Tzuke']
['Four Horsemen', 'The Clash']
['Frozen Rainbow', 'Saxon']
['Gangsters', 'The Specials']
['Gates of the West', 'The Clash']
['Gertcha', 'Chas & Dave']
['Get Out of Here', 'Thin Lizzy']
['Get Used To It', 'Roger Voudouris']
['Gimme! Gimme! Gimme! (A Man After Midnight)', 'ABBA']
['Girls Got Rhythm', 'AC/DC']
['Girls Talk', 'Dave Edmunds']
['Go West', 'The Village People']
["God, That's Good", 'Cast of Sweeney Todd']
['Gonna Get Along Without You Now', 'Viola Wills']
['Gonna Raise Hell ', 'Cheap Trick']
["Good Girls Don't", 'The Knack']
['Good Times', 'Chic']
['Goodbye Blue Sky', 'Pink Floyd']
['Goodbye Girl', 'Squeeze']
['Goodbye Stranger', 'Supertramp']
['Goodnight Tonight', 'Wings']
['Got To Give It Up', 'Thin Lizzy']
['Gotta Serve Somebody', 'Bob Dylan']
['Green Finch and Linnet Bird', 'Cast of Sweeney Todd']
['Grey Ghost', 'The Henry Paul Band']
['Groovy Times', 'The Clash']
['Half The Way', 'Crystal Gayle']
['Hateful', 'The Clash']
["He's The Greatest Dancer", 'Sister Sledge']
['Head Games', 'Foreigner']
['Heartache Tonight', 'Eagles']
['Heartbreaker', 'Pat Benatar']
['Heaven', 'Talking Heads']
['Here Comes My Girl', 'Tom Petty & the Heartbreakers']
['Here Comes The Moon', 'George Harrison']
