["(I've Had) The Time of My Life", 'Bill Medley & Jennifer Warnes']
['(Something Inside) So Strong', 'Labi Siffre']
['1-2-3', 'Gloria Estefan & Miami Sound Machine']
['1959', 'The Sisters of Mercy']
['4th of July', 'X']
['853-5937', 'Squeeze']
['A Bitch Iz A Bitch', 'N.W.A']
['A Different World Theme', 'Phoebe Snow']
['A Hazy Shade of Winter', 'Bangles']
['A New Machine', 'Pink Floyd']
['A Skeleton in the Closet', 'Anthrax']
["Ain't Got You", 'Bruce Springsteen']
['Alex Chilton', 'The Replacements']
['Alone', 'Heart']
['Always', 'Atlantic Starr']
['Always With Me, Always With You', 'Joe Satriani']
['Among the Living', 'Anthrax']
['Angel', 'Aerosmith']
['Animal', 'Def Leppard']
["Anne's Song", 'Faith No More']
['Another Part Of Me', 'Michael Jackson']
['Anything Goes', 'Gregg Allman']
['Armageddon It', 'Def Leppard']
['Bad', 'Michael Jackson']
['Bad Attitude', 'Deep Purple']
['Bad Boys', 'Inner Circle']
['Be There', 'The Pointer Sisters']
['Behind The Sun', 'Red Hot Chili Peppers']
['Big Life', 'Night Ranger']
['Big Love', 'Fleetwood Mac']
['Birthday', 'The Sugarcubes']
['Boyz-n-the Hood', 'N.W.A']
['Bridge of Spies', "T'Pau"]
['Brilliant Disguise', 'Bruce Springsteen']
['Bring The Noise', 'Public Enemy']
['Buckskin Stallion Blues', 'Townes Van Zandt']
['Bullet The Blue Sky', 'U2']
['Cactus', 'Pixies']
['Calypso', 'Suzanne Vega']
["Can't Hardly Wait", 'The Replacements']
["Can't We Try", 'Dan Hill']
['Caribou', 'Pixies']
['Caught In A Mosh', 'Anthrax']
['Cautious Man', 'Bruce Springsteen']
['Chemi-Kill', 'Exodus']
['China In Your Hand', "T'Pau"]
['Christmas in Hollis', 'Run-D.M.C.']
['Circle In The Sand', 'Belinda Carlisle']
['Coming Around Again', 'Carly Simon']
["Could've Been", 'Tiffany']
['Crazy', 'Icehouse']
['Cry Little Sister', 'G. Tom Mac']
['Dad', 'Nomeansno']
['Darn Floor - Big Bite', 'Daniel Amos']
["Death At One's Elbow", 'The Smiths']
['Death of a Disco Dancer', 'The Smiths']
['Devil Inside', 'INXS']
["Didn't We Almost Have It All", 'Whitney Houston']
['Dirty Diana', 'Michael Jackson']
['Disturbance at the Heron House', 'R.E.M.']
['Dogs Of War', 'Pink Floyd']
['Dominion/Mother Russia', 'The Sisters of Mercy']
["Don't Disturb This Groove", 'The System']
["Don't Mean Nothing", 'Richard Marx']
["Don't Shed a Tear", 'Paul Carrack']
['Dream Warriors', 'Dokken']
['Dreamworld', 'Midnight Oil']
['Dude (Looks Like A Lady)', 'Aerosmith']
['Efilnikufesin (N.F.L.)', 'Anthrax']
['Eighteen Wheels and a Dozen Roses', 'Kathy Mattea']
['Electric Blue', 'Icehouse']
['Englishman In New York', 'Sting']
['Enter the Eternal Fire', 'Bathory']
['Everywhere', 'Fleetwood Mac']
['Exhuming McCarthy', 'R.E.M.']
['Exit', 'U2']
['Fairytale of New York', 'The Pogues']
['Faith', 'George Michael']
['Fallen Angel', 'Robbie Robertson']
['Father Figure', 'George Michael']
['Fight Like A Brave', 'Red Hot Chili Peppers']
['Fire On The Water', 'Divlje Jagode']
['Fireplace', 'R.E.M.']
['Follow You', 'Glen Burtnik']
['Foolish Beat', 'Debbie Gibson']
['Force Ten', 'Rush']
['Four Eleven Forty Four', 'Pete Wylie']
['Four Walls Of Raiford', 'Lynyrd Skynyrd']
['Fragile', 'Sting']
['Friend of a Wounded Heart', 'Wayne Watson']
['Funky Crime', 'Red Hot Chili Peppers']
['F�r immer', 'Warlock']
['Get Ready To Wiggle', 'The Cockroaches']
['Girlfriend', 'Pebbles']
['Girlfriend In A Coma', 'The Smiths']
['Girls, Girls, Girls', 'M�tley Cr�e']
['Give Me Peace On Earth', 'Modern Talking']
['God Will Make A Way ', 'Don Moen']
['Gods Of War', 'Def Leppard']
['Going Back to Cali', 'LL Cool J']
['Going for Gold', 'Hans Zimmer']
['Good Music', 'Joan Jett']
['Got My Mind Set On You', 'George Harrison']
['Gun Shy', '10,000 Maniacs']
['Guns In The Sky', 'INXS']
['Hangman Jury', 'Aerosmith']
['Happy', 'Victoria Williams']
['Head To Toe', 'Lisa Lisa & Cult Jam']
['Heart', 'Pet Shop Boys']
['Heart and Soul', "T'Pau"]
['Heart Turns To Stone', 'Foreigner']
['Heat Of The Night', 'Bryan Adams']
['Heaven Is A Place On Earth', 'Belinda Carlisle']
['Heaven Only Knows', 'Richard Marx']
['High Water', 'Rush']
['Hold On To The Nights', 'Richard Marx']
['Horror of It All', 'Anthrax']
['Hot Hot Hot', 'Buster Poindexter']
['Hot Love', 'Twisted Sister']
['Hourglass', 'Squeeze']
['How Beautiful You Are', 'The Cure']
['Hungry Eyes', 'Eric Carmen']
['Hysteria', 'Def Leppard']
['I Am the Law', 'Anthrax']
['I Cigni Di Balaka', 'Al Bano']
['I Come Undone', 'Jennifer Rush']
["I Don't Want To Be A Hero", 'Johnny Hates Jazz']
['I Get Weak', 'Belinda Carlisle']
["I Just Can't Stop Loving You", 'Michael Jackson']
['I Know You Got Soul', 'Eric B. & Rakim']
['I Need a Man', 'Eurythmics']
['I Need Love', 'LL Cool J']
["I Still Haven't Found What I'm Looking For", 'U2']
["I Think We're Alone Now", 'Tiffany']
['I Wanna Dance With Somebody (Who Loves Me)', 'Whitney Houston']
['I Want Your Sex', 'George Michael']
["I Won't Share You", 'The Smiths']
["I'm No Angel", 'Gregg Allman']
["I'm The Man", 'Anthrax']
['If I Had a Boat', 'Lyle Lovett']
['If I Was Your Girlfriend', 'Prince']
