['...Baby One More Time', 'Britney Spears']
['A Film for the Future', 'Idlewild']
['A Little Soul', 'Pulp']
['A Perfect Day Elise', 'PJ Harvey']
['All In The Family', 'Korn']
['All The Kids Are Right', 'Local H']
["Almost Doesn't Count", 'Brandy']
['American Woman', 'Lenny Kravitz']
['Amigone', 'The Goo Goo Dolls']
['Angel', 'Massive Attack']
['Angelene', 'PJ Harvey']
['Angry All The Time', 'Bruce Robison']
["Another Man's Done Gone", 'Billy Bragg']
['April Fools', 'Rufus Wainwright']
['Are You That Somebody?', 'Aaliyah']
['At My Most Beautiful', 'R.E.M.']
['Au Revoir', 'Malice Mizer']
['Ava Adore', 'Smashing Pumpkins']
['Baby', 'Rufus Wainwright']
['Baby Genius', 'Eels']
['Babylon', 'David Gray']
['Barbarella', 'Scott Weiland']
['Barroom Hero', 'Dropkick Murphys']
['Bawitdaba', 'Kid Rock']
['Beauty Mark', 'Rufus Wainwright']
['Being So Not For You (I Had No Right)', 'P.M. Dawn']
['Believe', 'Cher']
['Between Two Worlds', 'Uriah Heep']
['Big Enough', 'Chris Rice']
['Bitchcraft', 'Strelnikoff']
['Bitter Peace', 'Slayer']
['Black', 'Sevendust']
['Black Balloon', 'The Goo Goo Dolls']
['Black Love', 'Greg Dulli']
['Black Velveteen', 'Lenny Kravitz']
['Bloody Mary', 'The Living End']
['Bobbitt', 'SNFU']
['Bongo Bong', 'Manu Chao']
['Bottle Up And Explode', 'Elliott Smith']
['Brad Logan', 'Rancid']
['Brand New Start', 'Paul Weller']
['Breadfan', 'Metallica']
['Break Your Heart', 'Natalie Merchant']
['Broadway', 'The Goo Goo Dolls']
['Bummer', 'Monster Magnet']
['Busy Man', 'Billy Ray Cyrus']
['Bye Bye', 'Jo Dee Messina']
['California Stars', 'Billy Bragg & Wilco']
['Cameltosis', 'Korn']
['Can I Get A...', 'Jay-Z']
["Can't Get Enough of You Baby", 'Smash Mouth']
["Can't Let Go", 'Lucinda Williams']
['Celebrity Skin', 'Hole']
['Changes', '2Pac']
['Channel Zero', 'Canibus']
['Children Of The KoRn', 'Korn']
['Chocolate Salty Balls (P.S. I Love You)', 'Chef']
['Christmas Canon', 'Trans-Siberian Orchestra']
['Closing Time', 'Semisonic']
['Coma White', 'Marilyn Manson']
['Come On Up To My Office', 'Brent Carver']
['Come With Me', 'Puff Daddy']
['Coming Up From Behind', 'Marcy Playground']
['Como Estais Amigos', 'Iron Maiden']
['Cowboy', 'Kid Rock']
['Crush', 'Dave Matthews Band']
['Crush', 'Jennifer Paige']
['Danny Boy', 'Rufus Wainwright']
['Days of Wild', 'Prince']
['Daysleeper', 'R.E.M.']
['Dead And Gone', 'Mot�rhead']
['Dead Bodies Everywhere', 'Korn']
["Death's Head", 'Slayer']
['Deep in the Night', 'Tinashe']
['Deep Six', 'Matthew Good']
['Deeper', 'Econoline Crush']
['Devil Without a Cause', 'Kid Rock']
["Devil's Pie", "D'Angelo"]
['Dizzy', 'The Goo Goo Dolls']
['Do The Evolution', 'Pearl Jam']
['Doctor Jones', 'Aqua']
["Don't Drink The Water", 'Dave Matthews Band']
['Donde Estan Los Ladrones?', 'Shakira']
['Doo Wop (That Thing)', 'Lauryn Hill']
['Down In Flames', 'Reel Big Fish']
['Dragonfly', 'Clutch']
['Dragula', 'Rob Zombie']
['Dream Child (A Christmas Dream)', 'Trans-Siberian Orchestra']
["Dream Walkin'", 'Toby Keith']
['Dreams Of The San Joaquin', 'Linda Ronstadt']
['Drunken Angel', 'Lucinda Williams']
['Edgecrusher', 'Fear Factory']
["Efil's God", 'Eels']
['Electro-Shock Blues', 'Eels']
['Elizabeth On The Bathroom Floor', 'Eels']
['Emaline', 'Ben Folds Five']
['Erase/Rewind', 'The Cardigans']
['Every You Every Me', 'Placebo']
["Everybody's Free (To Wear Sunscreen)", 'Baz Luhrmann']
['Everyone Dies', 'Cold']
["Everyone Says You're So Fragile", 'Idlewild']
['Everything Is Automatic', 'Matthew Good']
['Everything Is Everything', 'Lauryn Hill']
['Evil Dildo', 'Placebo']
['Faith Of The Heart', 'Rod Stewart']
['Faithfull', 'Pearl Jam']
['Fall Like Rain', 'Eric Clapton']
['Falling', 'Lacuna Coil']
['Falls To Climb', 'R.E.M.']
["Father's Love", 'Bob Carlisle']
['Fire Escape', 'Fastball']
['Fly Away', 'Lenny Kravitz']
['For Martha', 'Smashing Pumpkins']
['For Me This Is Heaven', 'Jimmy Eat World']
['Forgive Them Father', 'Lauryn Hill']
['Freak on a Leash', 'Korn']
['Free Satpal Ram', 'Asian Dub Foundation']
['Freedom Or Fire', 'Fear Factory']
['Frozen', 'Madonna']
['Futureal', 'Iron Maiden']
['G.O.D. (Good Old Days)', 'Fastball']
['Garforth', 'Cast of Spend, Spend, Spend']
['Get At Me Dog', 'DMX']
['Get The Girl', 'Bangles']
['Give', 'Cold']
['Given To Fly', 'Pearl Jam']
['Going Nowhere', 'Oasis']
['Goodbye', 'Spice Girls']
['Got The Life', 'Korn']
['Gotta Go', 'Agnostic Front']
['Graduate', 'Third Eye Blind']
['Group Four', 'Massive Attack']
['Guest List', 'Eels']
['Guyute', 'Phish']
['Halloween', 'Dave Matthews Band']
['Hands', 'Jewel']
['Hard Knock Life (Ghetto Anthem)', 'Jay-Z']
['Have You Ever?', 'Brandy']
['He Got Game', 'Public Enemy']
['Heartbreak Hotel', 'Whitney Houston']
['Heaven Tonight', 'Hole']
['Hey You, I Love Your Soul', 'Skillet']
['History of a Boring Town', 'Less Than Jake']
['Holes In The Floor Of Heaven', 'Steve Wariner']
['Holland, 1945', 'Neutral Milk Hotel']
['Hooch', 'Everything']
['Hope', 'R.E.M.']
['How Long Gone', 'Brooks & Dunn']
['Human Beings', 'Seal']
['Hurt A Long Time', 'Jerry Cantrell']
['I Am Trying To Remember', 'Ray Aranha']
["I Don't Want To Miss A Thing", 'Aerosmith']
['I Grieve', 'Peter Gabriel']
['I Honor U', 'Canibus']
["I Just Don't Think I'll Ever Get Over You", 'Colin Hay']
['I Just Want to Dance With You', 'George Strait']
['I Lost It', 'Lucinda Williams']
['I Want To Disappear', 'Marilyn Manson']
["I'll Be", 'Edwin McCain']
["I'm a Message", 'Idlewild']
['If You See Him, If You See Her', 'Brooks & Dunn']
['If You Tolerate This Your Children Will Be Next', 'Manic Street Preachers']
['In Hiding', 'Pearl Jam']
['Inertia Creeps', 'Massive Attack']
['Ingrid Bergman', 'Billy Bragg']
['Inner Silence', 'Anathema']
['Intergalactic', 'Beastie Boys']
['Intro/Turn it Out', 'Jermaine Dupri']
['Iris', 'The Goo Goo Dolls']
["It Ain't Easy Being Me", 'Chris Knight']
["It's All Been Done", 'Barenaked Ladies']
["It's Hard To Speak My Heart", 'Brent Carver']
["It's On!", 'Korn']
['Jack Ruby', 'Deep Purple']
["Jackie's Strength", 'Tori Amos']
['Jesus Says', 'Ash']
['Journey Of 1000 Years', 'Kiss']
['Joy', 'Lucinda Williams']
['Joy of Labour', 'Mot�rhead']
['Justin', 'Korn']
['Kind & Generous', 'Natalie Merchant']
['Lazy Flies', 'Beck']
['Leave', 'Barenaked Ladies']
['Let Me Let Go', 'Faith Hill']
['Lies of Serpents, a River of Tears', 'Zao']
['Life', "Des'ree"]
['Life Is Sweet', 'Natalie Merchant']
['Like A Friend', 'Pulp']
['Live Again', 'Better Than Ezra']
['Locked In A Cage', 'Skillet']
['Lotus', 'R.E.M.']
['Lullaby', 'Shawn Mullins']
['Luv Me, Luv Me', 'Shaggy']
['Malibu', 'Hole']
['Maya', 'Joey Boy']
['Mechanical Animals', 'Marilyn Manson']
['Medication', 'Garbage']
['Meet Virginia', 'Train']
['Mephisto And Kevin', 'Primus']
['Metal Heart', 'Cat Power']
['Mexicola', 'Queens of the Stone Age']
['MFC', 'Pearl Jam']
['Midnight Train', 'Buddy Guy']
['Millennium', 'Robbie Williams']
['Mind Conception', 'Al Atkins']
['Mission', 'Dispatch']
['Money, Cash, Hoes', 'Jay-Z']
['Most High', 'Jimmy Page and Robert Plant']
['Mountain Hare Krishna', 'Krishna Das']
['Music Sounds Better With You', 'Stardust']
['My Beautiful Leah', 'PJ Harvey']
["My Father's Eyes", 'Eric Clapton']
['My Favorite Mistake', 'Sheryl Crow']
['My Favourite Game', 'The Cardigans']
['My Gift To You', 'Korn']
['My Life', 'Foxy Brown']
['My Sweet Prince', 'Placebo']
['Namah Shivaaya', 'Krishna Das']
['Napoleon Solo', 'At the Drive-In']
['Never Again', 'Remedy']
['Never There', 'Cake']
['New Millennium Cyanide Christ', 'Meshuggah']
["New Year's Prayer", 'Jeff Buckley']
['No Matter What', 'Boyzone']
['No Place That Far', 'Sara Evans']
['No Shelter', 'Rage Against the Machine']
['No, No, No', "Destiny's Child"]
["Nobody's Supposed To Be Here", 'Deborah Cox']
['Northern Star', 'Hole']
['Nowhere To Run', 'South Park']
['Octavo Dia', 'Shakira']
['Oh Well, Okay', 'Elliott Smith']
['Ojos Asi', 'Shakira']
['Olana', 'Marc Cohn']
['On A Day Like Today', 'Bryan Adams']
["On Her Majesty's Secret Service", 'Propellerheads']
['On Yonge Street', 'Gordon Lightfoot']
['Once Upon An Atrocity', 'Cradle of Filth']
['One Week', 'Barenaked Ladies']
['Only God Knows Why', 'Kid Rock']
['Ophelia', 'Natalie Merchant']
