['#36', 'Dave Matthews Band']
["'97 Bonnie & Clyde", 'Eminem']
['(You Drive Me) Crazy', 'Britney Spears']
['10 Days Late', 'Third Eye Blind']
['1000 Oceans', 'Tori Amos']
['24-7 Man', 'Robert Cray Band']
['4U', 'Korn']
['742617000027', 'Slipknot']
['9 P.M. (Till I Come)', 'ATB']
['A Boy And His Machine Gun', 'Matthew Good']
['Achilles Heel', 'Toploader']
["Adam's Song", 'blink-182']
['Affirmation', 'Savage Garden']
['After the Rain Has Fallen', 'Sting']
["Ain't It the Life", 'Foo Fighters']
['Albuquerque', 'Weird Al Yankovic']
['Aliens Exist', 'blink-182']
['All Star', 'Smash Mouth']
['All The Small Things', 'blink-182']
['Am I Going Crazy?', 'Korn']
['Amazed', 'Lonestar']
["Ana's Song", 'Silverchair']
['Animal Instinct', 'The Cranberries']
['Anthem', 'blink-182']
['Army', 'Ben Folds Five']
['Arnaldo Said', 'The Wondermints']
['Around The World', 'Red Hot Chili Peppers']
['As the World Turns', 'Eminem']
['Ashes In The Fall', 'Rage Against the Machine']
['Astro', 'The White Stripes']
['Atlanta', 'Stone Temple Pilots']
['Back At One', 'Brian McKnight']
['Back Here', 'BBMak']
['Back on Top', 'Van Morrison']
['Barrel Of A Gun', 'Guster']
['Because We Want To', 'Billie']
['Bed Of Razors', 'Children of Bodom']
['Beg For Me', 'Korn']
['Best I Ever Had (Grey Sky Morning)', 'Vertical Horizon']
['Better Off Alone', 'Alice Deejay']
['Big Time Operator', 'Big Bad Voodoo Daddy']
['Bills, Bills, Bills', "Destiny's Child"]
['Bingo Bango', 'Basement Jaxx']
['Black Cloud', 'Crazy Town']
['Blame Canada', 'Matt Stone and Trey Parker']
['Bliss', 'Tori Amos']
['Blue (Da Ba Dee)', 'Eiffel 65']
['Blue Flashing Light', 'Travis']
['Bodyrock', 'Moby']
['Born As Ghosts', 'Rage Against the Machine']
['Born Of A Broken Man', 'Rage Against the Machine']
['Born To Cry', 'Pulp']
['Brackish', 'Kittie']
['Brand New Day', 'Sting']
['Breadline', 'Megadeth']
['Breakout', 'Foo Fighters']
['Breathe', 'Faith Hill']
['Broken Bricks', 'The White Stripes']
['Broken Down House', "Martin Turner's Wishbone Ash"]
['Bug A Boo', "Destiny's Child"]
['But for the Grace of God', 'Keith Urban']
['Butterfly', 'Crazy Town']
['Cage', 'Dir en Grey']
['Californication', 'Red Hot Chili Peppers']
['Call and Answer', 'Barenaked Ladies']
['Calm Like A Bomb', 'Rage Against the Machine']
["Can't Change Me", 'Chris Cornell']
["Can't Take That Away (Mariah's Theme)", 'Mariah Carey']
['Canned Heat', 'Jamiroquai']
['Cannon', 'The White Stripes']
['Captain Anarchy', 'Anti-Flag']
['Carlene', 'Phil Vassar']
['Carry The Zero', 'Built to Spill']
["Catherine Howard's Fate", "Blackmore's Night"]
['Central Reservation', 'Beth Orton']
['Cereal Song', 'Bicycle Thief']
['Charlotte', 'Kittie']
['Chasing Rainbows', 'No Use for a Name']
['Chemical Bomb', 'The Aquabats']
['Choices', 'George Jones']
['Choke', 'Kittie']
['Coattails Of A Dead Man', 'Primus']
['Coffee & TV', 'Blur']
['Cold Water', 'Tom Waits']
['Colorblind', 'Counting Crows']
['Come On Over Baby (All I Want Is You)', 'Christina Aguilera']
['Come On Up To The House', 'Tom Waits']
['Come Original', '311']
['Concertina', 'Tori Amos']
['Confession', "Destiny's Child"]
['Cooksferry Queen', 'Richard Thompson']
['Cowboy Take Me Away', 'The Chicks']
['Crazy', 'Tove Lo']
['Crowded Elevator', 'Incubus']
["Crush 'Em", 'Megadeth']
['Crybaby', 'Mariah Carey']
['Damaged', 'Plumb']
['Darkside', 'Crazy Town']
['Darwin', 'Third Eye Blind']
['Dead', 'Korn']
['Demolition Man', 'Def Leppard']
['Desert Rose', 'Sting']
["Diggin' Your Scene", 'Smash Mouth']
['Dive', 'Steven Curtis Chapman']
['Do You Remember/Interlude', 'Ginuwine']
["Do You Think I'm a Whore?", 'Kittie']
["Don't Call Me Baby", 'Madison Avenue']
["Don't Leave Me", 'blink-182']
['Dos Ninos', 'Caf� Tacuba']
['Down Slow', 'Moby']
['Downfall', 'Children of Bodom']
['Drag Queens in Limousines', 'Mary Gauthier']
['Drive', 'Incubus']
['Drive-In Romance', 'Jimmie R. Vestal']
['Dumpweed', 'blink-182']
['Durch Den Wald Zum Bachhaus', "Blackmore's Night"]
['Dysentery Gary', 'blink-182']
['Easter Theater', 'XTC']
['Eeyore', 'Slipknot']
['Email Female', 'Salena Jones']
['Emit Remmus', 'Red Hot Chili Peppers']
['Emotion Sickness', 'Silverchair']
['Errol Flynn', 'Amanda McBroom']
['Everloving', 'Moby']
['Everything You Want', 'Vertical Horizon']
['Excess Baggage', 'Staind']
['Exterminator', 'Primal Scream']
['Eyeball Kid', 'Tom Waits']
['Eyeless', 'Slipknot']
['F--k The World', 'Insane Clown Posse']
['Falling Away From Me', 'Korn']
['Family Reunion', 'blink-182']
['Far Alaska', 'Jethro Tull']
['Farther', 'Third Eye Blind']
['Fast As You Can', 'Fiona Apple']
['Filipino Box Spring Hog', 'Tom Waits']
['Final Warning/Interlude', 'Ginuwine']
['Find My Baby', 'Moby']
['Five', 'Machine Head']
['Flat Beat', 'Mr. Oizo']
['Flutter Girl', 'Chris Cornell']
['Flying Without Wings', 'Westlife']
['Forever My Queen', 'Pentagram']
['Fortunate', 'Maxwell']
['FullMoon', 'Sonata Arctica']
['Generator', 'Foo Fighters']
['Genie in a Bottle', 'Christina Aguilera']
['Georgia Lee', 'Tom Waits']
['Get Born Again', 'Alice in Chains']
['Get On Top', 'Red Hot Chili Peppers']
['Get Real Paid', 'Beck']
['Ghost Of You And Me', 'BBMak']
['Giant', 'Matthew Good']
['Girl on TV', 'LFO']
['Girlfriend', 'Billie']
["Glory Of The 80's", 'Tori Amos']
['God Shaped Hole', 'Plumb']
['Going Away To College', 'blink-182']
['Gone With The Sin', 'HIM']
['Gone With The Wind', "Blackmore's Night"]
['Goodbye Earl', 'The Chicks']
['Goodbye Sky Harbor', 'Jimmy Eat World']
['Got Your Money', "Ol' Dirty Bastard"]
['Great Nations Of Europe', 'Randy Newman']
['Guerilla Radio', 'Rage Against the Machine']
['Guilty Conscience', 'Eminem']
['Guitar Flute & String', 'Moby']
['G�ttliche Devise', 'Geyers Schwarzer Haufen']
['Hanginaround', 'Counting Crows']
['Hate Me Now', 'Nas']
["He Didn't Have to Be", 'Brad Paisley']
['Heartbreaker', 'Mariah Carey']
['Heavy', 'Collective Soul']
['Helena', 'Misfits']
['Here With Me', 'Dido']
['Hey Daddy', 'Korn']
['Hey, Leonardo (She Likes Me For Me)', 'Blessid Union of Souls']
['Higher', 'Creed']
['Hit Or Miss', 'New Found Glory']
['Home', 'Staind']
['Honey', 'Moby']
['Hope', 'Shaggy']
['Hot Boyz', 'Missy Elliott']
['How Do You Like Me Now!?', 'Toby Keith']
['How to Rob', '50 Cent']
['Hunter', 'Dido']
["I Can't Own Her", 'XTC']
["I Don't Wanna Fight", 'Tom Petty & the Heartbreakers']
['I Drink', 'Mary Gauthier']
['I Got You', 'Stone Temple Pilots']
['I Knew I Loved You', 'Savage Garden']
['I Know', 'Fiona Apple']
['I Love You (Prelude To Tragedy)', 'HIM']
['I Miss You', 'Incubus']
['I Miss You', 'Randy Newman']
['I Try', 'Macy Gray']
['I Want It That Way', 'Backstreet Boys']
['I Wish I Could', 'Collin Raye']
['I Wish I Was a Girl', 'Counting Crows']
["I Wouldn't Believe Your Radio", 'Stereophonics']
["I'll Meet You There", 'Brett Sawyer and Pearl Runga']
["I'm a Loner Dottie, a Rebel", 'The Get Up Kids']
["I'm Crying Out", 'Ginuwine']
["I'm No Angel", 'Dido']
["I'm Not So Tough", 'Mindy McCready']
["I've Committed Murder", 'Macy Gray']
["I've Dreamed of You", 'Barbra Streisand']
["I've Gotta Find You", 'Lonestar']
['Idiot Box', 'Incubus']
['If I Never Met You', 'Barbra Streisand']
['If I Should Ever Lose You', 'Chicago']
['If Things Were Perfect', 'Moby']
['If You Had My Love', 'Jennifer Lopez']
['In Spite Of Ourselves', 'John Prine']
['Inside', 'Moby']
['Insomnia', 'Megadeth']
['Instant Pleasure', 'Rufus Wainwright']
['Is Anybody Home?', 'Our Lady Peace']
['It Makes Me Ill', "'N Sync"]
["It's Gonna Go Away", 'Korn']
["It's Not Right But It's Okay", 'Whitney Houston']
["It's OK", 'Delirious?']
['Join Me In Death', 'HIM']
['Juarez', 'Tori Amos']
['King For A Day', 'Jamiroquai']
['La Mer', 'Nine Inch Nails']
['La Muerte Chiquita', 'Caf� Tacuba']
['Lacquer Head', 'Primus']
['Larger Than Life', 'Backstreet Boys']
['Last Kiss', 'Pearl Jam']
['Learn to Fly', 'Foo Fighters']
['Letting The Cables Sleep', 'Bush']
['Lift Me Up', 'Geri Halliwell']
['Lit Up', 'Buckcherry']
['Live-In Skin', 'Foo Fighters']
["Livin' La Vida Loca", 'Ricky Martin']
['Lonesome', 'Unwritten Law']
['Look At Me', 'Geri Halliwell']
['Lost In You', 'Garth Brooks']
['Lottery', 'Marky Ramone']
['Love Of My Life', 'Santana']
["Love's the Only House", 'Martina McBride']
['Lovestruck', 'Madness']
['Lucky Denver Mint', 'Jimmy Eat World']
['Machete', 'Moby']
['Mad About The Boy', 'Ce Soir']
['Make Yourself', 'Incubus']
['Mama Told Me Not To Come', 'Tom Jones']
['Mambo No 5 (A Little Bit Of)', 'Lou Bega']
['Maria', 'Rage Against the Machine']
['Maria', 'Blondie']
['Maria Maria', 'Santana']
['Mas Tequila', 'Sammy Hagar']
['Mayonnaise and Marmalade', 'NRBQ']
['Mazohyst Of Decadence', 'Dir en Grey']
['Me Neither', 'Brad Paisley']
['Mic Check', 'Rage Against the Machine']
['Migra', 'Santana']
['Millennium Prayer', 'Cliff Richard']
['Miserable', 'Lit']
['Molly', 'Mindless Self Indulgence']
['Moment In The Sun', 'Clem Snide']
['Moonbaby', 'Godsmack']
['Moonchild', 'Chris Cornell']
["Mrs. Potter's Lullaby", 'Counting Crows']
['Murder (Or a Heart Attack)', "Old 97's"]
['Muscle Museum', 'Muse']
['Mutt', 'blink-182']
['My Beautiful Friend', 'The Charlatans UK']
['My Brother', "Martin Turner's Wishbone Ash"]
['My Love Is Your Love', 'Whitney Houston']
['My Name Is', 'Eminem']
['My Own Worst Enemy', 'Lit']
['My Way Home', 'Alex Lloyd']
['My Weakness', 'Moby']
['N 2gether Now', 'Limp Bizkit']
['Narcolepsy', 'Third Eye Blind']
['Natural Blues', 'Moby']
['Never Thought', 'Roger Clyne & the Peacemakers']
['New Millennium Homes', 'Rage Against the Machine']
['Next Year', 'Foo Fighters']
['Nice Guys Finish Last', 'Green Day']
['No Distance Left To Run', 'Blur']
['No Leaf Clover', 'Metallica']
['No More No Less', 'Collective Soul']
['No S--t', 'Iggy Pop']
['No Scrubs', 'TLC']
['No Sex', 'Limp Bizkit']
['No Way Out', 'Stone Temple Pilots']
["Nobody's Real", 'Powerman 5000']
['Nookie', 'Limp Bizkit']
['Nothing Really Matters', 'Madonna']
['One Man Army', 'Our Lady Peace']
['One Note Symphony', 'Red Hot Chili Peppers']
['Only One', 'Slipknot']
['Open The Eyes Of My Heart', 'SONICFLOOd']
['Otherside', 'Red Hot Chili Peppers']
['Out From Under', 'Incubus']
['Out Of Control', 'The Chemical Brothers']
['Paparazzi On Mopeds', 'The Cranberries']
['Paper Bag', 'Fiona Apple']
['Paper Shoes', 'Hawksley Workman']
['Paperdoll', 'Kittie']
['Part Of Me', 'Stellar*']
['Past Time With Good Company', "Blackmore's Night"]
['Perfect Love...Gone Wrong', 'Sting']
['Petals', 'Mariah Carey']
['Please Remember Me', 'Tim McGraw']
['Pony', 'Tom Waits']
['Porcelain', 'Red Hot Chili Peppers']
['Porcelain', 'Moby']
['Praise You', 'Fatboy Slim']
['Primavera', 'Santana']
['Private Emotion', 'Ricky Martin']
['Promises', 'The Cranberries']
['Prosthetics', 'Slipknot']
['Purity', 'Slipknot']
['Purple Stain', 'Red Hot Chili Peppers']
['Put the Coke on My Dick', 'Ween']
['Put Your Lights On', 'Santana']
['Race For The Prize', 'The Flaming Lips']
['Re-Rewind', 'Craig David']
['Replica', 'Sonata Arctica']
['Review Your Choices', 'Pentagram']
["Road Trippin'", 'Red Hot Chili Peppers']
['Rodeo Clowns', 'G. Love & Special Sauce']
['Room At The Top', 'Tom Petty & the Heartbreakers']
["Rosa's Coronas", 'Kate Campbell']
['Run On', 'Moby']
['Rushing', 'Moby']
['S Club Party', 'S Club 7']
['Sad Eyes', 'Enrique Iglesias']
['Safe and Sound', 'Hawksley Workman']
['Sandstorm', 'Darude']
['Saturday Night', 'Misfits']
['Savior', 'Red Hot Chili Peppers']
['Say My Name', "Destiny's Child"]
['Scar Tissue', 'Red Hot Chili Peppers']
['Scissors', 'Slipknot']
['Seksi Vie Ja Taksi Tuo', 'Nylon Beat']
['Self Defense', 'Paul Westerberg']
['Semi-True Story', 'Jimmy Buffett']
['Serenity Painted Death', 'Opeth']
['Seven', 'Megadeth']
['Sexbomb', 'Tom Jones']
['Sexx Laws', 'Beck']
['She Said', 'Collective Soul']
['She Wants You', 'Billie']
["She's a Bitch", 'Missy Elliott']
["She's A Jar", 'Wilco']
["She's So High", 'Tal Bachman']
['Show Me The Meaning Of Being Lonely', 'Backstreet Boys']
['sic', 'Slipknot']
['Sigillum Diaboli', 'HIM']
['Sing it Back', 'Moloko']
['Sinner Saved By Grace', 'The Cathedrals']
['Sleep Now In The Fire', 'Rage Against the Machine']
['Slow Motion', 'Third Eye Blind']
['Smile', 'Lonestar']
['Smoke Rings in the Dark', 'Gary Allan']
['Smooth', 'Santana']
['So Anxious', 'Ginuwine']
['So Long', 'Everlast']
['Some Days You Gotta Dance', 'The Chicks']
['Something Like That', 'Tim McGraw']
['Soothe Me', 'Vonda Shepard']
['Sorry', 'Bic Runga']
['Sour Girl', 'Stone Temple Pilots']
['South Side', 'Moby']
['Spanish Nights (I Remember It Well)', "Blackmore's Night"]
['Spit', 'Kittie']
['Spit It Out', 'Slipknot']
['Stacked Actors', 'Foo Fighters']
['Starf--kers Inc.', 'Nine Inch Nails']
['Steal My Kisses', 'Ben Harper']
['Steal My Sunshine', 'Len']
['Stellar', 'Incubus']
['Still', 'Macy Gray']
['Still D.R.E.', 'Dr. Dre']
['Such A Rush', 'Coldplay']
['Sunburn', 'Muse']
['Sunshine', 'Gabrielle']
['Surfacing', 'Slipknot']
['Svefn-G-Englar', 'Sigur R�s']
['Swastika Eyes', 'Primal Scream']
["Swingin'", 'Tom Petty & the Heartbreakers']
['Take A Picture', 'Filter']
['Ten Minutes', 'The Get Up Kids']
['Tender', 'Blur']
['Testify', 'Rage Against the Machine']
['Thank You', 'Dido']
["That's The Way It Is", 'Celine Dion']
['The Bad Touch', 'Bloodhound Gang']
['The Big Three Killed My Baby', 'The White Stripes']
['The Calling', 'Santana']
['The Captain', 'Kasey Chambers']
['The Chemicals Between Us', 'Bush']
['The Cup Of Life', 'Ricky Martin']
['The Decline', 'NOFX']
["The Dolphin's Cry", 'Live']
['The Ecstasy Of Gold', 'Metallica']
['The Fragile', 'Nine Inch Nails']
['The Frug', 'Rilo Kiley']
['The Grass Is Blue', 'Dolly Parton']
['The Great Beyond', 'R.E.M.']
['The Last Good Day Of The Year', 'Cousteau']
['The Observations Of A Crow', 'Marty Stuart']
['The Party Song', 'blink-182']
['The Saga Begins', 'Weird Al Yankovic']
['The Sky Is Broken', 'Moby']
['The Song Of The Grateful Duck', 'unknown']
['The Spark That Bled', 'The Flaming Lips']
['The Spiderbite Song', 'The Flaming Lips']
['The Spirit Carries On', 'Dream Theater']
['The Unforgiven', 'Hal Ketchum']
['The Warmth', 'Incubus']
['The World Is Not Enough', 'Garbage']
['Then The Morning Comes', 'Smash Mouth']
['Thief', 'Our Lady Peace']
['This Velvet Glove', 'Red Hot Chili Peppers']
['Thong Song', 'Sisq�']
["Thursday's Child", 'David Bowie']
['Toe 2 Toe', 'Ginuwine']
["Tomorrow's Goodbye", 'Lynyrd Skynyrd']
['Too Much Sex (Too Little Jesus)', 'Drive-By Truckers']
['Tsunami', 'Manic Street Preachers']
['Turn Your Lights Down Low', 'Bob Marley']
['Two Beds And A Coffee Machine', 'Savage Garden']
['Two Sides to a Story', 'Ginuwine']
['Under a Violet Moon', "Blackmore's Night"]
['Unfinished Monkey Business', 'Ian Brown']
['Unintended', 'Muse']
['Uno', 'Muse']
['Unpretty', 'TLC']
['Vagabond Ways', 'Marianne Faithfull']
['Via Chicago', 'Wilco']
['Viorar Vel Til Loftarasa', 'Sigur R�s']
