['(No More) What Ifs', 'Natasha Bedingfield']
['(Pop)Ular SciencE', 'Bayside']
['1000 Meere', 'Tokio Hotel']
['1234', 'Feist']
['14', 'Paula Cole']
['15 Step', 'Radiohead']
['1973', 'James Blunt']
['2 Hearts', 'Kylie Minogue']
['23', 'Blonde Redhead']
["3's and 7's", 'Queens of the Stone Age']
['300 M.P.H. Torrential Outpour Blues', 'The White Stripes']
['37 Stitches', 'Drowning Pool']
['45 Days', 'Eric Schwartz']
['505', 'Arctic Monkeys']
['6 Of 1 Thing', 'Craig David']
['A Lily for the Spectre', 'Stephanie Dosen']
['A Little Piece Of Heaven', 'Avenged Sevenfold']
['A Martyr for My Love for You', 'The White Stripes']
['A Very Silent Night', 'SPCA']
['About You Now', 'Sugababes']
['Abraham', 'The Kin']
['Adelaide', 'Anberlin']
['Aesthetics Of Hate', 'Machine Head']
['Afterlife', 'Avenged Sevenfold']
["Alcohaulin' Ass", 'Hellyeah']
['Alfie', 'Lily Allen']
['All American Girl', 'Carrie Underwood']
['All Good Things (Come To An End)', 'Nelly Furtado']
['All I Got', 'Newton Faulkner']
['All I Need', 'Radiohead']
['All My Friends', 'LCD Soundsystem']
['All Summer Long', 'Kid Rock']
['All The More Reason', 'Andy Hersey']
['Almost Easy', 'Avenged Sevenfold']
['Altered From Catechization', 'Job for a Cowboy']
['Always', 'Gabrielle']
['Always Be', 'Jimmy Eat World']
['Alyssa Lies', 'Jason Michael Carroll']
['Amen', 'Kid Rock']
["American Dreamin'", 'Jay-Z']
['An Deiner Seite (Ich Bin Da)', 'Tokio Hotel']
['An Unexpected Rain', 'Melissa Etheridge']
['Anne Braden', 'Flobots']
['Announcement Service Public', 'Linkin Park']
['Anthem For The New Millennium Generation', 'Anti-Flag']
['Antichrist Television Blues', 'Arcade Fire']
['Antisaint', 'Chevelle']
['Any Other World', 'Mika']
['Apologize', 'Timbaland']
['Archangel', 'Burial']
['Are You Alright?', 'Lucinda Williams']
['Arizona', 'Kings of Leon']
['Armor and Sword', 'Rush']
['Arms Of My Baby', 'Joss Stone']
["Ass Whoopin'", 'Jennifer Batten']
['Awake', 'Secondhand Serenade']
['Away From Here', 'Enemy']
['Ayeneh', 'Jooliet']
['Ayo Technology', '50 Cent']
