['$ (dollar sign)', 'Prince']
['(I Keep On) Rising Up', 'Mike Doughty']
['(I Want to) Come Home', 'Paul McCartney']
["(If You're Wondering If I Want You To) I Want You To", 'Weezer']
['1,320', 'Megadeth']
['10/10', 'Paolo Nutini']
['100 Suns', '30 Seconds to Mars']
['100%', 'Beverley Knight']
['1000 Stacks', 'Nelly']
['10:03', 'Doves']
['11th Dimension', 'Julian Casablancas']
['1901', 'Phoenix']
['1939 Returning', 'Pete Doherty']
['1958-2008', 'Tashi Dhondup']
['2012', 'The Gossip']
['21 Guns', 'Green Day']
['21st Century Breakdown', 'Green Day']
['22', 'Lily Allen']
['253', 'Just Jack']
['3', 'Britney Spears']
['3 Words', 'Cheryl Cole']
['368', 'Jamie T.']
['3am', 'Eminem']
['4 My Town (Play Ball)', 'Birdman']
['4 Winds', 'The Lightning Seeds']
['44 Minutes', 'Megadeth']
['5 Star Chick', 'Yo Gotti']
['8th Wonder', 'The Gossip']
['90210', 'Wale']
['99 Times', 'Kate Voegele']
['A Balloon On A Broken String', 'The Boy Least Likely To']
['A Beautiful Day', 'India.Arie']
['A Cloud of Mystery', 'Max�mo Park']
["A Dead Man's Words ", 'Queensr�che']
['A Friend Of A Friend', 'Dave Rawlings Machine']
['A Little Death Around The Eyes', 'Pete Doherty']
['A Little More Country Than That', 'Easton Corbin']
['A Loaded Smile', 'Adam Lambert']
['A Looking in View', 'Alice in Chains']
['A Night Like This', 'Caro Emerald']
['A Nightmare to Remember', 'Dream Theater']
['A Rite of Passage', 'Dream Theater']
['A Silent Night with You', 'Tori Amos']
['A Song for a Son', 'Smashing Pumpkins']
['A Song For Her', 'Ruben Studdard']
['A Song For You', 'Whitney Houston']
['A Star is Born', 'Jay-Z']
['A White Demon Love Song', 'The Killers']
['A Whole Lot Better', 'Brendan Benson']
['A Woman a Man Walked By/The Crow Knows Where All the Little Children Go', 'PJ Harvey and John Parish']
['A-Town', 'DJ Drama']
['A-Yo', 'Method Man & Redman']
['Abnormally Attracted to Sin', 'Tori Amos']
['About A Girl', 'Sugababes']
['About Face', 'Grizzly Bear']
['Absolute', 'The Fray']
['Absolutely Still', 'Better Than Ezra']
['According to Plan', 'Carolyn Arends']
['According To You', 'Orianthi']
['Acid Bubble', 'Alice in Chains']
['Addicted', 'Morningwood']
['Addiction', 'Dope']
['Admit It', 'Esm�e Denters']
['Adoration', 'Brenton Brown']
['Aeon', 'Antony and the Johnsons']
['After the Rain', 'Shirley Bassey']
['After The Storm', 'Mumford & Sons']
['Aftermath', 'Adam Lambert']
['Again', 'Flyleaf']
['Aha!', 'Imogen Heap']
['Ahead of the Curve', 'Monsters of Folk']
['Ahhh... Men', 'Say Anything']
['AIG', 'Show of Hands']
["Ain't Leaving Without You", 'Jaheim']
['Airplanes', 'Local Natives']
['Airstream Driver', 'Gomez']
['Airstream Song', 'Miranda Lambert']
['Airwave', 'Boh Runga']
['Alejandro', 'Lady Gaga']
['Alerion', 'Asking Alexandria']
['Alibi', '30 Seconds to Mars']
['Alive (Nightmare)', 'Kid Cudi']
['All For the Glory', 'Kiss']
['All I Ever Wanted', 'Kelly Clarkson']
['All I Really Want', 'Rick Ross']
['All I Wanted', 'Paramore']
['All Is Love', 'Karen O & the Kids']
['All Is Said and Done', 'Vertical Horizon']
['All Is Vanity', 'Manic Street Preachers']
['All Kinds Of Roses', 'Yusuf Islam']
['All My Love', 'Ryan Leslie']
['All Night Cinema', 'Just Jack']
['All Night Long', 'Alexandra Burke']
['All Over the World', 'Pet Shop Boys']
['All Secrets Known', 'Alice in Chains']
['All The Above', 'Maino']
['All The Plans We Made', 'Starsailor']
['All The Right Moves', 'OneRepublic']
['All the Time in the World', 'Jimmy Wayne']
['All The Way Turnt Up', 'Roscoe Dash']
['All We Ask', 'Grizzly Bear']
['Alligator Pie', 'Dave Matthews Band']
['Alors On Danse', 'Stromae']
['Already Gone', 'Kelly Clarkson']
['Already Home', 'Jay-Z']
['Alright With Me', 'Kris Allen']
['Alter the Ending', 'Dashboard Confessional']
['Always', 'Switchfoot']
['Always Enough', 'Casting Crowns']
['Always Remember Me', 'Ian Brown']
['Amazing', 'Inna']
['American Eulogy', 'Green Day']
['American Ride', 'Toby Keith']
['American Saturday Night', 'Brad Paisley']
['Amongst The Waves', 'Pearl Jam']
['An August Theme', '...And You Will Know Us by the Trail of Dead']
['An Old Friend of Mine', 'Joe Nichols']
['Angel', 'Kate Voegele']
['Angel', 'Rescue Signals']
['Angel Mom', 'Jesca Hoop']
['Angela', 'Jarvis Cocker']
['Angels', 'Diddy - Dirty Money']
['Anna', 'Taken by Trees']
['Annie', 'Mat Kearney']
['Anodyne Sea', 'As I Lay Dying']
['Anonanimal', 'Andrew Bird']
['Another Mistake', 'Joey DeGraw']
['Antenna', 'Sonic Youth']
['Anti-Orgasm', 'Sonic Youth']
['Antwerpen', 'Enter Shikari']
['Anything Like Me', 'Brad Paisley']
['aNYway', 'Duck Sauce']
['Anywhere But Here', 'Mayday Parade']
['Apartment', 'Shirley Bassey']
['April', 'PJ Harvey and John Parish']
['April Storms', 'Jeremy Enigk']
['Aquarius Sabotage', 'The Flaming Lips']
['Arcady', 'Pete Doherty']
['Arise', 'Flyleaf']
['Arkansas Dave', 'George Strait']
['Armistice', 'Phoenix']
['Arrow', 'Tegan and Sara']
['Arts & Crafts', 'Red Light Company']
['As A Blonde', 'Selena Gomez & The Scene']
['As He Climbed the Dark Mountain', 'Thursday']
['As I Em', 'Asher Roth']
['As Love Is My Witness', 'Westlife']
['As the Dawn Breaks', 'Richard Hawley']
['Ascending', '...And You Will Know Us by the Trail of Dead']
['Assassin', 'John Mayer']
['Assistant to the Regional Manager', 'The Devil Wears Prada']
['At 30,000 Ft', 'Queensr�che']
['Audacity of Huge', 'Simian Mobile Disco']
['Autograph', 'Bryan Brothers Band']
['Automatic', 'Tokio Hotel']
['Available', 'Flo Rida']
['Avenida Revolution', 'Chickenfoot']
['Awake', 'Devin Townsend Project']
['Awake and Alive', 'Skillet']
['Away in Silence', 'Creed']
['B********', 'Rammstein']
['Baby', 'Ghostface Killah']
['Baby', 'Devendra Banhart']
['Baby Blue', 'Dave Matthews Band']
['Baby Boomer', 'Monsters of Folk']
['Baby By Me', '50 Cent']
["Babylon's Burning", 'W.A.S.P.']
['Back Round', 'Wolfmother']
['Back That Thing Up', 'Justin Moore']
['Back To Manhattan', 'Norah Jones']
['Back to Tennessee', 'Billy Ray Cyrus']
['Back To The Crib', 'Juelz Santana']
['Backwards Down the Number Line', 'Phish']
['Backwoods', 'Justin Moore']
['Bad Behaviour', 'Dizzee Rascal']
['Bad Body Double', 'Imogen Heap']
['Bad Boy', 'Speech Debelle']
['Bad Boys', 'Alexandra Burke']
['Bad Day', 'Asher Roth']
['Bad Excuse For Daylight', 'Therapy?']
['Bad Habits', 'Maxwell']
['Bad Reputation', 'justplainfred']
['Bad Romance', 'Lady Gaga']
['Bag Lady', 'Manic Street Preachers']
['Bagpipes From Baghdad', 'Eminem']
['Barbie Doll', 'Jack Ingram']
['Bare', 'Beverley Knight']
['Bare Bones', 'Madeleine Peyroux']
['Barefoot and Crazy', 'Jack Ingram']
