['(Ha Ha) Slow Down', 'Fat Joe']
["(I Can't Make It) Another Day", 'Michael Jackson']
['(I Like) The Way You Love Me', 'Michael Jackson']
["(It's Not War) Just the End of Love", 'Manic Street Preachers']
['...And the World Laughs With You', 'Flying Lotus']
['1+1', 'Scouting for Girls']
['1,000 Faces', 'Randy Montana']
['10 Seconds', 'Jazmine Sullivan']
['100 Years From Now', 'Karen Elson']
['1000 Years', 'The Coral']
['187', "Lil' Boosie"]
['1979', 'Good Charlotte']
['1983', 'Neon Trees']
['2 Fat Ladies', 'Paul Weller']
['2 Sides of Me', 'Hinder']
['2012', 'The Word Alive']
["2012 (It Ain't the End)", 'Jay Sean']
['21@12', 'Hot Hot Heat']
['25 to Life', 'Eminem']
['30 Thousand 100 Million', 'Soulja Boy']
['4 June 1989', 'Mary Chapin Carpenter']
['4th of July (Fireworks)', 'Kelis']
['6 Foot 7 Foot', 'Lil Wayne']
['7 Day Binge', '7dayBinge']
["7&3 is the Striker's Name", 'Paul Weller']
['7x70', 'Chris August']
['81', 'Joanna Newsom']
['@!#?@! (swear words)', 'Motion City Soundtrack']
['A Billion Balconies Facing the Sun', 'Manic Street Preachers']
['A Brighter Day', 'The Doobie Brothers']
['A Dream Come True', 'Elton John & Leon Russell']
["A Father's Love (The Only Way He Knew How)", 'Bucky Covington']
['A Friend So Kind', 'The Choir']
['A Happy Place', 'Katie Melua']
['A Lifeless Ordinary (Need A Little Help)', 'Motion City Soundtrack']
['A Little Bit Stronger', 'Sara Evans']
["A Lot to Learn About Livin'", 'Easton Corbin']
['A Man Like Me', 'Randy Houser']
['A Moment Changes Everything', 'David Gray']
['A Place Where You Belong', 'Bullet For My Valentine']
['A Pot in Which to Piss', 'Titus Andronicus']
['A Stitch In Time', 'Smashing Pumpkins']
['A Voice In The Dark', 'Elvis Costello']
["A Warrior's Call", 'Volbeat']
['A Year Without Rain', 'Selena Gomez & The Scene']
['A&E', 'Morning Parade']
['Absence Of Light', 'Maximum Balloon']
['Acapella', 'Kelis']
['Ache with Me', 'Against Me!']
['Acolyte', 'Delphic']
['Act of God', 'Prince']
['Action Needs an Audience', 'Jimmy Eat World']
['Acts of Man', 'Midlake']
['ADD SUV', 'Uffie']
['Addicted', 'Randy Houser']
['Afraid of Everyone', 'The National']
['Africa Land', 'Ziggy Marley']
['After 17', 'Alan Jackson']
["After Midnight (It'll Burn)", 'Travie McCoy']
['Afterlife', 'Bush']
['Age of Adz', 'Sufjan Stevens']
['Aim High', 'Paul Weller']
["Ain't Back Yet", 'Kenny Chesney']
["Ain't Breakin' Nothin'", 'Toby Keith']
["Ain't Much Left of Lovin' You", 'Randy Montana']
["Ain't No Doubt About It", 'Game']
["Ain't No Grave (Gonna Hold This Body Down)", 'Johnny Cash']
["Ain't No Son", 'Court Yard Hounds']
["Ain't Nobody", 'Clare Maguire']
['Airplane', 'Day of Fire']
['Airplane', "Plain White T's"]
['Airplanes', 'B.o.B']
['Airplanes (Part II)', 'B.o.B']
['Akidagain', 'Travie McCoy']
['Albatross', 'The Besnard Lakes']
['Album Number Two', 'Joey + Rory']
['Alcohol Blind', 'Drowning Pool']
['Alice', 'Avril Lavigne']
['Alive', 'Goldfrapp']
['Alive', 'Good Charlotte']
['All About Him', 'Auburn']
['All About Tonight', 'Blake Shelton']
['All American Nightmare', 'Hinder']
['All Day', 'Cody Simpson']
['All for You', 'Keith Urban']
['All I Do Is Win', 'DJ Khaled']
['All I Need', 'Christina Aguilera']
['All I Want', 'LCD Soundsystem']
['All I Want', 'A Day to Remember']
["All I Want For Christmas Is New Year's Day", 'Hurts']
['All I Want Is You', 'Miguel']
['All In', 'Lifehouse']
['All My Friends Are Insects', 'Weezer']
['All Night Long', 'Buckcherry']
['All of Creation', 'MercyMe']
['All of the Lights', 'Kanye West']
['All Over Me', 'Josh Turner']
['All Signs Point to Lauderdale', 'A Day to Remember']
['All the Lovers', 'Kylie Minogue']
['All the Pretty Things', 'Tenth Avenue North']
['All The Things I Could Never Say', 'Kele Okereke']
['All The Way Down', 'Little Big Town']
['All the Women I Am', 'Reba McEntire']
['All These Strangers', 'Elvis Costello']
['All Time Low', 'The Wanted']
['All We Make Is Entertainment', 'Manic Street Preachers']
['All You Need Is Now', 'Duran Duran']
['Alley Cats', 'Hot Chip']
['Almost Alright', 'Blake Shelton']
['Always Loved a Film', 'Underworld']
['Ambitions', 'Joe McElderry']
['Ambling Alp', 'Yeasayer']
['America', 'RPA & the United Nations of Sound']
['American Daughters', 'Sarah Buxton']
['American Honey', 'Lady A']
['American Slang', 'The Gaslight Anthem']
['American Spirit', 'Tom McRae']
['Amorosa', 'Pitbull']
['Amsterdam', 'Crowded House']
['An Anthem For The Young At Heart', 'Amber Pacific']
['An Ordinary Life', 'Amy MacDonald']
['Anchor', 'Alejandro Escovedo']
['Andaluc�a', 'Doves']
['Andromeda', 'Paul Weller']
['Angel', 'Akon']
['Angel Dance', 'Robert Plant']
['Angels Cry', 'Mariah Carey']
['Animal', 'Kesha']
['Animal', 'Neon Trees']
['Annabel Lee', 'Black Rebel Motorcycle Club']
['Another Bad Day', 'Vince Neil']
['Another New World', 'Josh Ritter']
['Another Night Out', 'UNKLE']
['Another Way to Die', 'Disturbed']
['Any Girl', 'Lloyd Banks']
['Any Which Way', 'Scissor Sisters']
['Anyone But Him', 'Mr. Hudson']
['Anything but the Truth', 'Jack Johnson']
['Apartment Wrestling', 'Maximum Balloon']
['Aphrodite', 'Kylie Minogue']
["April's Love", 'Court Yard Hounds']
['Are You Gonna Kiss Me or Not', 'Thompson Square']
['Are You Here', 'Corinne Bailey Rae']
['Are You Ready to Live?', 'Korn']
