['#1Nite (One Night)', 'Cobra Starship']
["(Don't Let Them) Cool Off", 'Peter Bjorn and John']
['(Drop Dead) Beautiful', 'Britney Spears']
['(I Wanna Live In A Dream In My) Record Machine', "Noel Gallagher's High Flying Birds"]
['(It) Feels So Good ', 'Steven Tyler']
['(Kissed You) Good Night', 'Gloriana']
['(Motor) Way of Life ', 'Lower Than Atlantis']
['(Stranded On) The Wrong Beach', "Noel Gallagher's High Flying Birds"]
['(What Is) Love?', 'Jennifer Lopez']
['1+1', 'Beyonc�']
['13', 'Megadeth']
['17 Hills', 'Thomas Dolby']
['1901', 'Birdy']
['1904', 'Benjamin Francis Leftwich']
['1996', 'The Wombats']
['20 Years', 'The Civil Wars']
['212', 'Azealia Banks']
['21st Century Girl', 'Willow Smith']
['25/8', 'Mary J. Blige']
['2808', 'Nero']
['2gether', 'Roger Sanchez']
['4 AM', 'Melanie Fiona']
['4 Letter Word', 'David Cook']
['40 Days...', 'blessthefall']
["5 O'Clock", 'T-Pain']
['50 Words For Snow', 'Kate Bush']
['6 Weeks', 'James Morrison']
['9 Piece', 'Rick Ross']
['A Buncha Girls', 'Frankie Ballard']
['A Commotion', 'Feist']
['A Darker Forest', 'Thursday']
['A Gun in the First Act', 'Thursday']
['A Kiss', 'Bad Meets Evil']
['A Lack Of Understanding', 'The Vaccines']
['A Lesson Never Learned', 'Asking Alexandria']
['A Little Bit Of Everything', 'Dawes']
["A Machine Spiritual (In The People's Key)", 'Bright Eyes']
["A Man Don't Have To Die", 'Brad Paisley']
['A Month Of Saturdays', 'R.E.M.']
['A Prayer for Me In Silence', 'Flogging Molly']
['A Real Good Try', 'Josh Kelley']
["A Showman's Life", 'George Strait']
['A Song For You', 'Amy Winehouse']
['A Thousand Years', 'Christina Perri']
["A Trophy Father's Trophy Son", 'Sleeping with Sirens']
['A Woman Like You', 'Lee Brice']
['Abducted', 'Cults']
['Aberdeen', 'Cage the Elephant']
['Above The Noise', 'The Box Story']
['Abracadabra', 'Jessie J']
['Acid Turkish Bath (Shelter From the Storm)', 'Kasabian']
['Across Five Oceans', 'Madina Lake']
['Action Is My Middle Name', 'Morrissey']
['Addicted', 'Nick Carter']
['Addiction', 'Quarterfly']
['Adolescents', 'Incubus']
['After', 'Moby']
['After Light', 'Rustie']
['After Midnight', 'blink-182']
['After You Die', 'Tom Waits']
['Afterlife', 'Switchfoot']
['Aftertaste', 'Funeral for a Friend']
['Aheb Aisht Al Huriya', 'Stephan Said']
['Ai Se Eu Te Pego!', 'Michel Tel�']
['AKA... Broken Arrow', "Noel Gallagher's High Flying Birds"]
['AKA...What A Life!', "Noel Gallagher's High Flying Birds"]
['Albatross', 'Wild Beasts']
['Albatross', 'Big Wreck']
['Aliens', 'Take That']
['All Aboard', 'Romeo Santos']
['All About Tonight', 'Pixie Lott']
['All American Prophet', 'Cast of The Book of Mormon']
['All and Everyone', 'PJ Harvey']
['All At Once', 'The Airborne Toxic Event']
['All Back', 'Chris Brown']
['All Black Everything', 'Lupe Fiasco']
['All Cried Out Redux', 'Jill Scott']
['All Fired Up', 'The Saturdays']
['All for Nothing', 'Matt Cardle']
['All I Want Is Everything', 'Victorious Cast']
['All I Want Is You', 'Justin Bieber']
['All In White', 'The Vaccines']
['All Is Not Lost', 'OK Go']
['All Kinds of Kinds', 'Miranda Lambert']
['All My Own Stunts', 'Arctic Monkeys']
['All My Rage', 'Laura Marling']
['All Night Long', 'Demi Lovato']
['All Of Me', 'Meat Loaf']
['All of You', 'Colbie Caillat']
['All the Best', 'R.E.M.']
['All The Heavy Lifting', 'Mastodon']
['All This and Heaven Too', 'Florence + the Machine']
['All Tied Up', 'Robin Thicke']
['All Your Life', 'The Band Perry']
['Alligator Aviator Autopilot Antimatter', 'R.E.M.']
['Alligator Sky', 'Owl City']
['Alone Again', 'Alyssa Reid']
['Alone With You', 'Jake Owen']
['Already There', 'Casting Crowns']
['Alright, Alright', 'Chickenfoot']
['Altered Ego', 'Bobby V']
['Always Be This Way', 'Martina McBride']
['Am I The Only One', 'Dierks Bentley']
['Amazing', 'Matt Cardle']
['Amazone', 'Iness Mezel']
['Ambition', 'Wale']
['Ambulance', 'Eisley']
['Amen', 'Edens Edge']
['AmenJena', 'Nicole Scherzinger']
['American Capitalist', 'Five Finger Death Punch']
['Americano', 'Lady Gaga']
['Amy', 'Sunny Sweeney']
['An Angel on Each Arm', 'Robin Thicke']
['An Ordinary Son', 'Black Country Communion']
['Anaconda', 'Aggro Santos']
['And a Ways to Go', '311']
['Angel', 'Casting Crowns']
['Angel By Your Side', 'Francesca Battistelli']
['Angel Eyes', 'Love and Theft']
['Angels', 'Owl City']
['Animal', 'Ellie Goulding']
['Anna Lee (Sweetheart Of The Sun)', 'Bangles']
['Annabel Lee', 'Stevie Nicks']
['Another Like You', 'Hayes Carll']
['Anti-D', 'The Wombats']
['Antidote', 'Swedish House Mafia']
['Anvil Everything', 'White Denim']
['Anxiety', 'Angels & Airwaves']
['Any Man In America', 'Blue October']
['Any Other Way', 'The Zombies']
['Any Way You Like It', 'Status Quo']
['Anything', 'Musiq (Soulchild)']
['Anything (To Find You)', 'Monica']
['Anyway', 'Cee Lo Green']
['Anywhere With You', 'Jake Owen']
['Apartment', 'Young the Giant']
['Arabesque', 'Nightwish']
['Argyria', 'Esben and the Witch']
['Arlandria', 'Foo Fighters']
['Armistice', 'Patrick Wolf']
['Arms', 'Christina Perri']
['Army Of Love', 'Kerli']
['Around My Head', 'Cage the Elephant']
['Art of Almost', 'Wilco']
["As Long As I Know I'm Getting Paid", 'Patrick Stump']
['As Long As We Got Love', 'Javier Colon']
['As You Turn Away', 'Lady A']
['Ashes & Fire', 'Ryan Adams']
['Ass Back Home', 'Gym Class Heroes']
['Astronaut', 'Professor Green']
['Astronaut', 'Simple Plan']
['At Your Inconvenience', 'Professor Green']
['At Your Name (Yahweh, Yahweh)', 'Phil Wickham']
['Atlas Hands', 'Benjamin Francis Leftwich']
['Atonement', 'Michael W. Smith']
['Automatic', "Aubrey O'Day"]
['Autumn Leaves', 'Susan Boyle']
['Avalon', 'Professor Green']
['Axman', 'Robbie Robertson']
['Azonto', 'Fuse ODG']
['Baby Blue Eyes', 'Josh Kelley']
['Baby Come Home', 'Bush']
['Baby I Like It', 'Kevin Cossom']
["Baby's Breath", 'Bill Callahan']
['Back In Style', 'Joss Stone']
['Back On the Ground', 'Scotty McCreery']
['Back To Love', 'Anthony Hamilton']
['Back to Love', 'Estelle']
['Back To Me', '3 Doors Down']
['Back to Where I Belong', 'Sum 41']
['Backseat', 'New Boyz']
['Bad As Me', 'Tom Waits']
['Bad Kids', 'Lady Gaga']
['Bad Side Of 25', 'Patrick Stump']
['Bad Timing', 'Bombay Bicycle Club']
['Badass', 'Saliva']
['Badman Riddim (Jump)', 'Vato Gonzalez']
['Baggage Claim', 'Miranda Lambert']
['Bait a Hook', 'Justin Moore']
['Balada', 'Gusttavo Lima']
['Bang Bang Bang', 'Selena Gomez & The Scene']
['Bang Bang Pow Pow', 'T-Pain']
['Bangarang', 'Skrillex']
['Barefoot Blue Jean Night', 'Jake Owen']
['Barton Hollow', 'The Civil Wars']
['Battery Kinzie', 'Fleet Foxes']
['Be Careful', 'Jason Derulo']
['Be In Love', 'The Click Five']
['Be Still And Know', 'Machine Head']
['Be The One', 'Lloyd']
['Beat Goes On', 'Travis Barker']
['Beat of My Drum', 'Nicola Roberts']
['Beautiful', 'The View']
['Beautiful', 'Take That']
['Beautiful', 'Julian Lennon']
['Beautiful Lasers, (Two Ways)', 'Lupe Fiasco']
['Beautiful Lies', 'Jaron and the Long Road to Love']
['Beautiful People', 'Chris Brown']
['Bed of My Chevy', 'Justin Moore']
['Bed of Nails', 'Wild Beasts']
